MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.511800e+01,   -1.652545e-02,    3.864603e-04,    7.380618e-02,   -5.607393e-02,   -1.109937e-01,    6.862815e-02,    2.045261e-02,   -6.392147e-03,    1.478578e+00,   -6.277589e-01,   -4.203180e+00,    2.624791e+00,    4.891605e+00,   -2.628976e+00,    2.251870e+00,   -1.692219e+00,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.785430e-02,    3.701840e-03,    8.462081e-02,   -7.401292e-02,   -1.279924e-01,    8.982990e-02,    2.351327e-02,   -7.409889e-03,    2.019967e+00,   -5.353626e-01,   -4.391370e+00,    3.850596e+00,    5.049739e+00,   -3.776882e+00,    2.105325e+00,   -1.618917e+00,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -2.113360e-02,    5.279985e-03,    1.010988e-01,   -9.934689e-02,   -1.501506e-01,    1.161704e-01,    2.766428e-02,   -6.916994e-03,    1.885408e+00,    1.040052e-01,   -4.044627e+00,    4.242492e+00,    3.919258e+00,   -3.969080e+00,    2.132031e+00,   -1.591850e+00,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    2.511800e+01,   -2.047595e-03,   -9.848178e-03,    8.116285e-02,   -8.122869e-02,   -6.559443e-02,    7.024765e-02,   -4.195689e-03,    7.868130e-03,   -1.500885e+00,    1.100688e+00,   -2.994621e+00,    3.188158e+00,    1.875972e+00,   -3.532178e+00,    1.747205e-01,    8.522527e-02,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
         2,    3.981000e+01,    1.454219e-04,   -9.623589e-03,    1.009389e-01,   -1.067763e-01,   -8.252992e-02,    9.493599e-02,   -6.679159e-03,    1.030734e-02,   -1.276810e+00,    1.767402e+00,   -2.487531e+00,    3.282988e+00,    1.609635e+00,   -3.224192e+00,   -1.081538e-01,   -2.423794e-02,   -4.874100e-03,   -2.675400e-03,    8.670900e-02,   -8.799600e-02,   -7.332200e-02,    7.649200e-02,   -7.269700e-03,    1.017500e-02,    3.931300e-03,    3.931300e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.460200e-03,    5.460200e-03,
         2,    6.309500e+01,    2.559679e-03,   -1.106968e-02,    1.296034e-01,   -1.381362e-01,   -1.067325e-01,    1.256455e-01,   -1.089933e-02,    1.258264e-02,   -1.687556e+00,    3.700949e+00,   -2.878581e+00,    3.667765e+00,    2.006380e+00,   -3.396055e+00,   -1.958938e-01,   -1.644155e-01,   -2.229100e-03,   -5.675000e-04,    1.086200e-01,   -1.114000e-01,   -9.210700e-02,    1.008900e-01,   -1.230600e-02,    1.140200e-02,    2.837700e-03,    2.837700e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.180800e-03,    7.180800e-03,
         3,    3.981000e+01,    9.508337e-04,   -6.877800e-03,    1.012958e-01,   -9.920887e-02,   -7.236640e-02,    8.753139e-02,   -7.511589e-03,    5.399462e-03,   -1.923235e+00,   -8.701064e-01,   -3.209208e+00,   -6.415122e-01,    2.481979e+00,   -2.685634e+00,   -1.957623e+00,    2.948616e+00,   -1.289300e-02,   -1.314100e-02,    6.597200e-02,   -1.062700e-01,   -5.892400e-02,    7.298600e-02,   -2.598000e-02,    3.321700e-02,    7.198200e-03,    7.198200e-03,    1.100700e-02,    1.100700e-02,    5.416000e-03,    5.416000e-03,    9.434100e-03,    9.434100e-03,
         3,    6.309500e+01,    3.214542e-03,   -7.581980e-03,    1.282270e-01,   -1.248707e-01,   -9.461817e-02,    1.142511e-01,   -9.731726e-03,    5.668730e-03,   -1.127186e+00,   -1.363173e+00,   -2.602650e+00,   -4.748696e-01,    1.986922e+00,   -2.237620e+00,   -2.531318e+00,    2.338045e+00,   -6.693200e-03,   -1.956400e-02,    1.042800e-01,   -1.292400e-01,   -8.021000e-02,    9.802500e-02,   -4.103400e-02,    3.458100e-02,    8.789800e-03,    8.789800e-03,    9.201000e-03,    9.201000e-03,    7.251500e-03,    7.251500e-03,    1.236600e-02,    1.236600e-02,
         4,    2.511800e+01,   -6.157761e-04,    2.527233e-03,    8.835954e-02,   -8.982034e-02,   -8.797027e-02,    1.028161e-01,   -1.940812e-02,   -4.095474e-03,   -1.696655e+00,    5.841522e-01,   -2.062590e+00,    1.678607e+00,    6.676283e-01,   -1.582487e+00,    1.309374e+00,   -1.623320e+00,   -9.490300e-03,    5.582700e-03,    7.620800e-02,   -7.993100e-02,   -8.403700e-02,    9.349300e-02,   -9.878500e-03,   -1.591000e-02,    5.230600e-03,    5.230600e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    7.278000e-03,    7.278000e-03,
         4,    3.981000e+01,   -2.302829e-03,    1.725661e-03,    1.061855e-01,   -1.202744e-01,   -1.107136e-01,    1.358338e-01,   -1.803040e-02,   -9.344053e-03,   -1.671525e+00,    1.598623e-01,   -1.698052e+00,    1.293739e+00,    1.213875e+00,   -1.253133e+00,    1.214876e+00,   -1.714326e+00,   -1.348700e-02,    2.795300e-03,    9.319900e-02,   -1.103800e-01,   -1.014300e-01,    1.262500e-01,   -5.974700e-03,   -2.635600e-02,    6.691000e-03,    6.691000e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    9.923400e-03,    9.923400e-03,
