MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+00,   -1.703127e-02,    5.149227e-03,    1.649305e-02,   -1.121142e-02,   -4.712914e-02,    2.268858e-02,    1.417202e-02,   -5.355968e-03,   -5.232369e-01,    3.325444e-01,   -1.529686e+00,    1.159081e+00,    7.460711e-01,   -2.870469e+00,    5.222960e-01,    2.701858e-02,   -1.846400e-02,    6.059800e-03,    1.426200e-02,   -9.520900e-03,   -4.604100e-02,    1.850200e-02,    1.646600e-02,   -5.237300e-03,    2.738200e-03,    2.738200e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    4.392100e-03,    4.392100e-03,
         1,    1.584800e+00,   -1.898042e-02,    4.159704e-03,    1.937055e-02,   -1.492446e-02,   -5.383283e-02,    2.434697e-02,    1.574871e-02,   -6.277683e-03,   -4.449063e-01,    1.326224e-01,   -7.648875e-01,    6.494735e-01,    1.791457e+00,   -1.457316e+00,    4.889649e-01,   -3.252757e-01,   -2.043500e-02,    4.593300e-03,    1.801800e-02,   -1.377600e-02,   -5.066500e-02,    2.177000e-02,    1.817300e-02,   -7.890400e-03,    3.269400e-03,    3.269400e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    4.958000e-03,    4.958000e-03,
         1,    2.511800e+00,   -2.051552e-02,    2.451156e-03,    2.378050e-02,   -1.947822e-02,   -6.099059e-02,    2.599270e-02,    1.766337e-02,   -7.201144e-03,   -1.531263e-01,    6.286221e-02,   -1.011180e+00,    4.297765e-01,    1.722295e+00,   -5.550714e-01,    4.174721e-01,   -5.917974e-01,   -2.108100e-02,    2.683300e-03,    2.164600e-02,   -1.857100e-02,   -5.735500e-02,    2.482100e-02,    2.001800e-02,   -1.053900e-02,    3.692900e-03,    3.692900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    5.640200e-03,    5.640200e-03,
         1,    3.981000e+00,   -2.095538e-02,    1.539857e-04,    3.009918e-02,   -2.432834e-02,   -6.807689e-02,    2.761687e-02,    1.972925e-02,   -8.140782e-03,   -1.196900e-01,   -6.200016e-02,   -1.163509e+00,    6.624019e-01,    8.531425e-01,   -2.898345e-02,    4.731416e-01,   -8.654693e-01,   -2.145000e-02,   -1.022300e-04,    2.717400e-02,   -2.266300e-02,   -6.593200e-02,    2.754400e-02,    2.282800e-02,   -1.380900e-02,    4.132500e-03,    4.132500e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    6.549300e-03,    6.549300e-03,
         2,    1.000000e+00,   -1.272391e-02,    2.865712e-03,    1.541994e-02,   -1.223999e-02,   -1.909976e-02,    1.208953e-02,    1.845811e-03,    7.191936e-04,    1.470519e-01,    1.583504e-01,   -1.105566e-01,    1.494432e-02,    1.121600e+00,   -2.537652e+00,    1.010431e+00,    5.844010e-01,   -1.237800e-02,    3.238200e-03,    1.488000e-02,   -1.216700e-02,   -1.798400e-02,    9.565100e-03,    3.113700e-03,    1.452500e-03,    2.352300e-03,    2.352300e-03,    4.883800e-03,    4.883800e-03,    9.947900e-04,    9.947900e-04,    1.254800e-03,    1.254800e-03,
         2,    1.584800e+00,   -1.400068e-02,    1.688225e-03,    1.829067e-02,   -1.673264e-02,   -2.224367e-02,    1.416865e-02,    1.699835e-03,    1.254395e-03,    8.355773e-01,    5.760593e-01,   -6.784956e-01,    3.563643e-01,    2.190908e+00,   -1.996061e+00,    1.067347e+00,    6.277696e-01,   -1.197900e-02,    3.082000e-03,    1.483000e-02,   -1.491500e-02,   -1.982600e-02,    1.196600e-02,    3.214400e-03,    2.145200e-03,    2.419500e-03,    2.419500e-03,    5.100500e-03,    5.100500e-03,    1.103500e-03,    1.103500e-03,    1.419000e-03,    1.419000e-03,
         2,    2.511800e+00,   -1.485932e-02,   -2.137130e-04,    2.281599e-02,   -2.246489e-02,   -2.585090e-02,    1.684274e-02,    1.339741e-03,    1.926641e-03,    2.332670e-02,    3.577949e-01,   -8.653947e-01,    2.100246e-01,    2.257741e+00,   -9.160059e-01,    6.577894e-01,    7.766397e-01,   -1.478700e-02,    8.956300e-04,    1.914100e-02,   -2.157300e-02,   -2.267200e-02,    1.555300e-02,    2.365300e-03,    3.137500e-03,    3.100500e-03,    3.100500e-03,    4.246600e-03,    4.246600e-03,    1.408000e-03,    1.408000e-03,    1.559100e-03,    1.559100e-03,
         2,    3.981000e+00,   -1.467697e-02,   -2.795149e-03,    2.942887e-02,   -2.905014e-02,   -2.985508e-02,    2.030397e-02,    7.118879e-04,    2.637122e-03,   -4.979056e-01,    6.156155e-01,   -7.379560e-01,    2.333812e-01,    1.652249e+00,   -3.149521e-01,    1.609811e-01,    5.628916e-01,   -1.658400e-02,   -4.372800e-04,    2.721500e-02,   -2.835000e-02,   -2.686500e-02,    1.973400e-02,    9.803400e-04,    3.575800e-03,    3.830100e-03,    3.830100e-03,    3.000000e-03,    3.000000e-03,    1.809700e-03,    1.809700e-03,    1.667600e-03,    1.667600e-03,
         4,    3.981000e-01,   -7.316256e-04,    3.122283e-04,    2.014986e-02,   -8.712830e-03,   -1.209784e-02,    1.105798e-02,   -1.241560e-03,    1.230815e-03,   -1.834538e+00,   -2.251357e-01,   -8.555910e-01,    9.051743e-01,   -1.631735e+00,    7.694040e-01,    1.627119e+00,    5.277308e-01,   -2.798600e-03,    5.856800e-05,    1.879400e-02,   -7.278400e-03,   -1.441800e-02,    1.215200e-02,    1.329000e-04,    1.676600e-03,    1.126700e-03,    1.126700e-03,    1.584700e-03,    1.584700e-03,    1.421900e-03,    1.421900e-03,    8.447200e-04,    8.447200e-04,
         4,    6.309500e-01,   -9.249297e-04,    3.812617e-04,    2.210856e-02,   -1.107839e-02,   -1.471720e-02,    1.365545e-02,   -1.556111e-03,    1.791192e-03,   -1.941250e+00,   -2.427456e-01,   -8.796888e-01,    1.367091e+00,   -1.172107e+00,    7.275436e-01,    2.271810e+00,   -2.188905e-01,   -3.542900e-03,    5.389500e-05,    2.088500e-02,   -9.176900e-03,   -1.695100e-02,    1.504200e-02,    5.465400e-04,    1.588600e-03,    1.348600e-03,    1.348600e-03,    1.390900e-03,    1.390900e-03,    1.905800e-03,    1.905800e-03,    9.255400e-04,    9.255400e-04,
