Site,Frequency,ReZxxCal,ImZxxCal,ReZxyCal,ImZxyCal,ReZyxCal,ImZyxCal,ReZyyCal,ImZyyCal,ReZxxObs,ImZxxObs,ReZxyObs,ImZxyObs,ReZyxObs,ImZyxObs,ReZyyObs,ImZyyObs,ReZxxErr,ImZxxErr,ReZxyErr,ImZxyErr,ReZyxErr,ImZyxErr,ReZyyErr,ImZyyErr,
11,1.584800e-001,-1.126184e-002,7.429192e-003,1.036043e-002,-4.425937e-003,-1.360400e-002,1.037027e-002,2.588654e-003,-7.711677e-004,-1.246400e-002,7.632100e-003,1.083500e-002,-3.993400e-003,-1.312800e-002,9.618600e-003,2.845700e-003,-1.037200e-003,1.948600e-003,1.948600e-003,1.361600e-003,1.361600e-003,9.467300e-004,9.467300e-004,1.053100e-003,1.053100e-003,
11,2.511800e-001,-1.361883e-002,7.897007e-003,1.143529e-002,-5.407073e-003,-1.675563e-002,1.156445e-002,2.977987e-003,-8.133966e-004,-1.483200e-002,7.763000e-003,1.166900e-002,-4.876100e-003,-1.684300e-002,1.104200e-002,2.972600e-003,-8.306600e-004,2.182600e-003,2.182600e-003,1.274000e-003,1.274000e-003,1.116100e-003,1.116100e-003,1.182600e-003,1.182600e-003,
11,3.981000e-001,-1.610332e-002,8.316429e-003,1.260928e-002,-6.712536e-003,-2.014570e-002,1.285822e-002,3.308419e-003,-6.689805e-004,-1.676400e-002,8.265900e-003,1.256200e-002,-5.973500e-003,-2.091300e-002,1.252100e-002,4.054400e-003,-3.590500e-004,2.418700e-003,2.418700e-003,1.213300e-003,1.213300e-003,1.232600e-003,1.232600e-003,1.494100e-003,1.494100e-003,
11,6.309500e-001,-1.871033e-002,8.671255e-003,1.392220e-002,-8.664316e-003,-2.373985e-002,1.437820e-002,3.501903e-003,-4.672206e-004,-1.874600e-002,8.375700e-003,1.356400e-002,-7.880500e-003,-2.501100e-002,1.179600e-002,4.005500e-003,-3.524900e-005,2.692100e-003,2.692100e-003,1.041400e-003,1.041400e-003,1.270800e-003,1.270800e-003,1.578700e-003,1.578700e-003,
11,1.000000e+000,-2.152418e-002,9.010815e-003,1.566480e-002,-1.163970e-002,-2.767150e-002,1.642304e-002,3.593504e-003,-2.752679e-004,-2.172200e-002,1.058800e-002,1.519100e-002,-1.019400e-002,-2.851400e-002,1.622600e-002,4.005900e-003,7.025900e-004,3.153800e-003,3.153800e-003,1.224900e-003,1.224900e-003,1.224900e-003,1.224900e-003,1.732700e-003,1.732700e-003,
11,1.584800e+000,-2.478947e-002,9.163562e-003,1.837942e-002,-1.586888e-002,-3.238312e-002,1.911144e-002,3.591303e-003,-9.689456e-005,-2.535600e-002,1.159000e-002,1.755100e-002,-1.414500e-002,-3.236100e-002,1.933500e-002,3.711500e-003,8.133100e-004,3.760300e-003,3.760300e-003,1.457500e-003,1.457500e-003,1.457500e-003,1.457500e-003,1.795200e-003,1.795200e-003,
11,2.511800e+000,-2.859367e-002,8.575363e-003,2.266052e-002,-2.129094e-002,-3.828938e-002,2.211572e-002,3.434191e-003,1.693362e-005,-2.985100e-002,1.221100e-002,2.123000e-002,-1.996300e-002,-3.740100e-002,2.307800e-002,3.312900e-003,1.106100e-003,4.598500e-003,4.598500e-003,1.789300e-003,1.789300e-003,1.789300e-003,1.789300e-003,1.858400e-003,1.858400e-003,
11,3.981000e+000,-3.251208e-002,6.505712e-003,2.895513e-002,-2.764488e-002,-4.527228e-002,2.480918e-002,3.157844e-003,-1.566769e-004,-3.501900e-002,1.062200e-002,2.630100e-002,-2.657700e-002,-4.543700e-002,2.755100e-002,2.662900e-003,9.074300e-004,5.548600e-003,5.548600e-003,2.228700e-003,2.228700e-003,2.228700e-003,2.228700e-003,1.834000e-003,1.834000e-003,
11,6.309500e+000,-3.549065e-002,2.522955e-003,3.753500e-002,-3.452911e-002,-5.238517e-002,2.695421e-002,3.156216e-003,-7.154855e-004,-4.026100e-002,7.103700e-003,3.499300e-002,-3.507900e-002,-5.427000e-002,2.947300e-002,2.203400e-003,3.027400e-004,6.751100e-003,6.751100e-003,2.765800e-003,2.765800e-003,2.765800e-003,2.765800e-003,1.758000e-003,1.758000e-003,
11,6.309500e+000,-3.779235e-002,2.871677e-003,3.705506e-002,-3.464921e-002,-5.281061e-002,2.701997e-002,2.798645e-003,-3.914204e-004,-4.026100e-002,7.103700e-003,3.499300e-002,-3.507900e-002,-5.427000e-002,2.947300e-002,2.203400e-003,3.027400e-004,6.751100e-003,6.751100e-003,2.765800e-003,2.765800e-003,2.765800e-003,2.765800e-003,1.758000e-003,1.758000e-003,
