MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.511800e+01,   -1.407384e-02,    1.114371e-03,    5.626614e-02,   -4.353859e-02,   -9.150420e-02,    5.573731e-02,    3.380663e-02,   -1.903188e-02,    8.851542e-01,   -8.039530e-01,   -1.734878e-01,   -2.551074e-01,    4.140421e-01,    3.325950e-01,    1.056772e+00,   -5.610456e-01,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.513118e-02,    4.258546e-03,    6.467580e-02,   -5.757837e-02,   -1.055910e-01,    7.445827e-02,    3.902104e-02,   -2.434470e-02,    1.371897e+00,   -6.678518e-01,   -4.605444e-01,    6.116228e-01,    6.348119e-01,   -7.473930e-01,    8.825078e-01,   -2.835749e-01,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -1.796683e-02,    6.317923e-03,    7.759154e-02,   -7.738297e-02,   -1.251357e-01,    9.685830e-02,    4.665898e-02,   -3.020742e-02,    1.299164e+00,   -8.814163e-02,   -3.476519e-01,    7.882315e-01,   -1.483201e-02,   -9.318710e-01,    8.994888e-01,   -8.056464e-02,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    2.511800e+01,   -5.140348e-03,   -4.419120e-03,    6.566913e-02,   -6.612251e-02,   -5.209376e-02,    5.645920e-02,   -3.240019e-03,    6.215378e-03,   -8.420815e-01,   -5.578443e-02,    5.589028e-01,   -2.764826e-01,   -1.220440e+00,   -3.697618e-01,   -6.463988e-02,    4.991790e-01,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
         2,    3.981000e+01,   -4.261831e-03,   -2.734089e-03,    8.202604e-02,   -8.659898e-02,   -6.596244e-02,    7.625800e-02,   -5.297905e-03,    8.212128e-03,   -1.557421e-01,    1.492856e-02,    8.186275e-01,   -2.442128e-01,   -1.286524e+00,    4.090539e-02,   -3.611213e-01,    3.594871e-01,   -4.874100e-03,   -2.675400e-03,    8.670900e-02,   -8.799600e-02,   -7.332200e-02,    7.649200e-02,   -7.269700e-03,    1.017500e-02,    3.931300e-03,    3.931300e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.460200e-03,    5.460200e-03,
         2,    6.309500e+01,   -3.681907e-03,   -2.143207e-03,    1.053149e-01,   -1.114975e-01,   -8.566340e-02,    1.004635e-01,   -8.748491e-03,    9.924161e-03,    5.119664e-01,    5.552760e-01,    4.534049e-01,    1.337420e-02,   -8.839559e-01,    5.851473e-02,   -4.954196e-01,    2.058042e-01,   -2.229100e-03,   -5.675000e-04,    1.086200e-01,   -1.114000e-01,   -9.210700e-02,    1.008900e-01,   -1.230600e-02,    1.140200e-02,    2.837700e-03,    2.837700e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.180800e-03,    7.180800e-03,
         3,    3.981000e+01,    6.665412e-03,   -1.258208e-02,    8.650880e-02,   -8.563587e-02,   -6.151002e-02,    7.521276e-02,   -2.042866e-02,    1.828825e-02,   -2.717125e+00,   -7.764733e-02,   -1.865794e+00,   -1.874637e+00,    4.774786e-01,   -4.111444e-01,   -5.884334e-01,    1.582425e+00,   -1.289300e-02,   -1.314100e-02,    6.597200e-02,   -1.062700e-01,   -5.892400e-02,    7.298600e-02,   -2.598000e-02,    3.321700e-02,    7.198200e-03,    7.198200e-03,    1.100700e-02,    1.100700e-02,    5.416000e-03,    5.416000e-03,    9.434100e-03,    9.434100e-03,
         3,    6.309500e+01,    1.026033e-02,   -1.500765e-02,    1.099338e-01,   -1.074294e-01,   -8.085795e-02,    9.746983e-02,   -2.617495e-02,    2.182815e-02,   -1.928773e+00,   -5.183680e-01,   -6.144735e-01,   -2.370464e+00,    8.935417e-02,    7.655910e-02,   -1.201605e+00,    1.031284e+00,   -6.693200e-03,   -1.956400e-02,    1.042800e-01,   -1.292400e-01,   -8.021000e-02,    9.802500e-02,   -4.103400e-02,    3.458100e-02,    8.789800e-03,    8.789800e-03,    9.201000e-03,    9.201000e-03,    7.251500e-03,    7.251500e-03,    1.236600e-02,    1.236600e-02,
         4,    2.511800e+01,   -8.202133e-03,    1.048006e-02,    7.699138e-02,   -8.052327e-02,   -8.687169e-02,    1.007292e-01,   -9.573808e-03,   -1.421304e-02,   -2.462751e-01,   -9.362897e-01,   -1.329693e-01,    1.005320e-01,    4.811570e-01,   -1.228262e+00,   -4.186480e-02,   -2.331624e-01,   -9.490300e-03,    5.582700e-03,    7.620800e-02,   -7.993100e-02,   -8.403700e-02,    9.349300e-02,   -9.878500e-03,   -1.591000e-02,    5.230600e-03,    5.230600e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    7.278000e-03,    7.278000e-03,
         4,    3.981000e+01,   -1.176616e-02,    1.212435e-02,    9.312940e-02,   -1.077761e-01,   -1.091189e-01,    1.333988e-01,   -6.314148e-03,   -2.295025e-02,   -2.571866e-01,   -1.394268e+00,    9.100635e-03,   -3.404744e-01,    1.005363e+00,   -9.347456e-01,    3.420682e-02,   -3.432044e-01,   -1.348700e-02,    2.795300e-03,    9.319900e-02,   -1.103800e-01,   -1.014300e-01,    1.262500e-01,   -5.974700e-03,   -2.635600e-02,    6.691000e-03,    6.691000e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    9.923400e-03,    9.923400e-03,
