MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+02,   -2.154825e-02,    6.663695e-03,    9.799338e-02,   -1.052611e-01,   -1.521964e-01,    1.262575e-01,    5.391221e-02,   -3.307089e-02,    8.819587e-01,    6.060134e-01,   -1.299592e-01,    5.128553e-01,   -9.995809e-01,   -8.183825e-01,    1.166912e+00,   -1.208773e-01,   -1.479500e-02,    1.130400e-02,    9.690600e-02,   -1.009700e-01,   -1.605600e-01,    1.194100e-01,    7.666700e-02,   -3.542800e-02,    7.657100e-03,    7.657100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    1.950000e-02,    1.950000e-02,
         1,    1.584800e+02,   -2.431913e-02,    5.659747e-03,    1.237806e-01,   -1.390083e-01,   -1.852148e-01,    1.615218e-01,    6.293622e-02,   -3.781411e-02,    4.990424e-01,    1.060584e+00,    1.646551e-01,    1.506744e-01,   -1.291308e+00,   -8.107492e-01,    1.124529e+00,    8.401761e-02,   -1.917700e-02,    1.658800e-02,    1.255600e-01,   -1.373800e-01,   -1.991700e-01,    1.527600e-01,    8.913100e-02,   -3.585700e-02,    1.030400e-02,    1.030400e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    2.329400e-02,    2.329400e-02,
         1,    2.511800e+02,   -2.594240e-02,    3.990597e-03,    1.584938e-01,   -1.817000e-01,   -2.277867e-01,    2.043759e-01,    7.158109e-02,   -4.423513e-02,    2.560284e-01,    1.241557e+00,    5.861353e-02,    2.870132e-01,   -5.280555e-01,   -1.144768e+00,    9.299850e-01,    5.381511e-01,   -2.268700e-02,    1.977700e-02,    1.592800e-01,   -1.778500e-01,   -2.348700e-01,    1.890200e-01,    9.586300e-02,   -3.018400e-02,    1.271500e-02,    1.271500e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    2.611000e-02,    2.611000e-02,
         2,    1.000000e+02,   -8.187713e-04,   -2.376727e-03,    1.369650e-01,   -1.430945e-01,   -1.132047e-01,    1.325840e-01,   -1.330055e-02,    1.051760e-02,   -5.780504e-01,    7.487650e-01,   -4.833604e-01,    7.734399e-01,    4.757836e-02,   -9.537330e-01,   -4.733868e-01,   -7.506852e-02,   -2.835300e-03,    2.353400e-04,    1.326500e-01,   -1.361900e-01,   -1.127800e-01,    1.240700e-01,   -1.741400e-02,    9.865300e-03,    3.488500e-03,    3.488500e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.689400e-03,    8.689400e-03,
         2,    1.584800e+02,    2.502107e-03,    1.306185e-03,    1.715982e-01,   -1.801926e-01,   -1.457449e-01,    1.708116e-01,   -1.723571e-02,    9.064735e-03,   -1.315011e+00,   -3.160338e-02,   -8.647882e-01,    4.610108e-01,    3.754258e-01,   -8.403297e-01,   -5.958991e-01,   -3.025187e-01,   -2.827500e-03,    1.178100e-03,    1.618200e-01,   -1.749800e-01,   -1.415000e-01,    1.613100e-01,   -2.370300e-02,    5.781500e-03,    4.052900e-03,    4.052900e-03,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.085300e-02,    1.085300e-02,
         2,    2.511800e+02,    2.856216e-03,    8.644045e-03,    2.134072e-01,   -2.306046e-01,   -1.871162e-01,    2.203438e-01,   -1.880302e-02,    6.566828e-03,   -1.046598e+00,   -9.435475e-01,   -9.983263e-01,    6.890105e-01,    1.107401e+00,   -7.121899e-01,   -6.660470e-01,   -6.249790e-01,   -2.893900e-03,    3.460100e-03,    1.992300e-01,   -2.208200e-01,   -1.713900e-01,    2.102300e-01,   -2.742700e-02,   -1.525400e-03,    5.494100e-03,    5.494100e-03,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.294800e-02,    1.294800e-02,
         3,    1.000000e+02,    1.519731e-02,   -1.649212e-02,    1.393515e-01,   -1.349018e-01,   -1.066542e-01,    1.270069e-01,   -3.095773e-02,    2.357851e-02,   -1.692831e+00,   -3.918818e-01,   -6.952066e-01,   -1.703523e+00,    1.081266e+00,   -4.611196e-01,   -1.526192e+00,    6.279525e-01,   -9.925900e-04,   -2.024000e-02,    1.331900e-01,   -1.500000e-01,   -9.707100e-02,    1.229200e-01,   -5.369800e-02,    3.293500e-02,    9.563800e-03,    9.563800e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    1.490000e-02,    1.490000e-02,
         3,    1.584800e+02,    2.133104e-02,   -1.634514e-02,    1.719415e-01,   -1.686918e-01,   -1.378438e-01,    1.633960e-01,   -3.712661e-02,    2.675008e-02,   -1.128320e+00,   -1.159900e+00,   -4.088087e-02,   -6.181948e-01,    7.498065e-01,   -8.912206e-02,   -1.638916e+00,    3.185614e-02,    6.217200e-03,   -3.188200e-02,    1.714800e-01,   -1.756700e-01,   -1.293800e-01,    1.623900e-01,   -6.732200e-02,    2.733700e-02,    1.339500e-02,    1.339500e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.842400e-02,    1.842400e-02,
         3,    2.511800e+02,    2.540577e-02,   -1.493497e-02,    2.114552e-01,   -2.143805e-01,   -1.780493e-01,    2.103610e-01,   -4.282669e-02,    3.136897e-02,   -5.156965e-01,   -1.420853e+00,   -4.091430e-01,    2.799112e-01,    8.951228e-01,    3.197521e-02,   -1.445891e+00,   -6.060974e-01,    1.678900e-02,   -3.867600e-02,    2.057100e-01,   -2.104500e-01,   -1.654800e-01,    2.108100e-01,   -7.378900e-02,    1.839000e-02,    1.670900e-02,    1.670900e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    2.141400e-02,    2.141400e-02,
         4,    1.000000e+02,   -1.616738e-02,    1.467658e-02,    1.455236e-01,   -2.021583e-01,   -1.796175e-01,    2.353426e-01,    9.310199e-03,   -4.292064e-02,    4.744207e-02,    3.227865e-02,   -9.750555e-02,   -2.356093e-03,    9.402870e-01,    3.419988e-01,    1.464263e-01,   -4.558040e-01,   -1.564500e-02,    1.503200e-02,    1.442100e-01,   -2.021900e-01,   -1.669500e-01,    2.399500e-01,    1.203900e-02,   -5.141500e-02,    1.101100e-02,    1.101100e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.863600e-02,    1.863600e-02,
