MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    6.309500e+00,   -1.991184e-02,   -1.784337e-03,    3.634291e-02,   -2.761730e-02,   -7.300675e-02,    2.890224e-02,    2.376775e-02,   -1.046482e-02,   -1.808435e-01,   -2.140249e-01,   -8.123972e-01,    4.355386e-01,   -3.613533e-01,    1.485956e-01,    5.755404e-01,   -7.877190e-01,   -2.072500e-02,   -2.746700e-03,    3.396600e-02,   -2.634300e-02,   -7.406400e-02,    2.933700e-02,    2.817000e-02,   -1.649000e-02,    4.496500e-03,    4.496500e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    7.648900e-03,    7.648900e-03,
         1,    1.000000e+01,   -1.768808e-02,   -2.653222e-03,    4.425402e-02,   -3.121092e-02,   -7.831863e-02,    3.334619e-02,    2.650741e-02,   -1.212481e-02,   -1.250361e-01,   -4.186334e-01,   -1.390060e+00,    5.060415e-01,    7.435085e-02,   -8.859085e-01,    7.490634e-01,   -8.448090e-01,   -1.826100e-02,   -4.571400e-03,    3.977400e-02,   -2.958000e-02,   -7.807900e-02,    3.049100e-02,    3.285700e-02,   -1.928600e-02,    4.582000e-03,    4.582000e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    8.476700e-03,    8.476700e-03,
         1,    1.584800e+01,   -1.535722e-02,   -1.613098e-03,    5.112959e-02,   -3.586636e-02,   -8.403324e-02,    4.228246e-02,    2.939125e-02,   -1.440701e-02,    1.881601e-01,   -6.406353e-01,   -1.276099e+00,    3.062363e-01,    6.275369e-01,   -1.130456e+00,    9.825389e-01,   -8.266934e-01,   -1.451900e-02,   -4.467000e-03,    4.651100e-02,   -3.475800e-02,   -8.176200e-02,    3.819100e-02,    3.875200e-02,   -2.228300e-02,    4.454800e-03,    4.454800e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    9.527100e-03,    9.527100e-03,
         2,    6.309500e+00,   -1.369466e-02,   -4.815256e-03,    3.638613e-02,   -3.499361e-02,   -3.305045e-02,    2.458414e-02,   -2.741571e-04,    3.370427e-03,   -7.034586e-01,    1.538643e-01,   -6.075560e-01,    2.552057e-01,    4.331655e-01,    9.130187e-02,    4.624466e-02,    3.910262e-01,   -1.675400e-02,   -4.146100e-03,    3.462300e-02,   -3.425300e-02,   -3.208800e-02,    2.478700e-02,   -1.843500e-04,    4.129800e-03,    4.349000e-03,    4.349000e-03,    2.902000e-03,    2.902000e-03,    2.221900e-03,    2.221900e-03,    1.942000e-03,    1.942000e-03,
         2,    1.000000e+01,   -1.074639e-02,   -6.375850e-03,    4.563711e-02,   -4.243256e-02,   -3.786967e-02,    3.159132e-02,   -1.220283e-03,    4.009584e-03,   -8.980409e-01,    8.636717e-02,   -8.948847e-01,    2.664769e-01,    2.875736e-02,   -3.525791e-01,    2.757908e-01,    5.406814e-01,   -1.493000e-02,   -5.973500e-03,    4.313000e-02,   -4.168600e-02,   -3.779200e-02,    3.063900e-02,   -5.530900e-04,    5.317600e-03,    4.658600e-03,    4.658600e-03,    2.801600e-03,    2.801600e-03,    2.701000e-03,    2.701000e-03,    2.419200e-03,    2.419200e-03,
         2,    1.584800e+01,   -7.437779e-03,   -6.290009e-03,    5.530958e-02,   -5.235165e-02,   -4.401456e-02,    4.220393e-02,   -2.153835e-03,    4.879323e-03,   -1.067620e+00,    1.254584e-01,   -4.977811e-01,    8.985689e-02,   -5.137727e-01,   -6.769194e-01,    2.292725e-01,    5.473555e-01,   -1.258200e-02,   -5.685500e-03,    5.363300e-02,   -5.204900e-02,   -4.574500e-02,    3.992400e-02,   -1.460400e-03,    6.534800e-03,    4.818400e-03,    4.818400e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.024500e-03,    3.024500e-03,
         4,    6.309500e+00,   -1.191466e-03,    4.568073e-03,    4.690481e-02,   -3.764027e-02,   -4.541624e-02,    4.744535e-02,   -9.399901e-03,    1.533651e-03,   -3.057412e-01,    2.168992e-01,    2.565849e-02,   -2.691852e-01,   -6.481333e-01,   -5.332811e-01,    9.240063e-02,   -9.241422e-02,   -2.033600e-03,    5.165500e-03,    4.698600e-02,   -3.849200e-02,   -4.746700e-02,    4.575800e-02,   -9.059700e-03,    1.193400e-03,    2.754400e-03,    2.754400e-03,    3.164100e-03,    3.164100e-03,    3.164100e-03,    3.164100e-03,    3.681800e-03,    3.681800e-03,
         4,    1.000000e+01,   -3.043482e-03,    6.376609e-03,    5.534186e-02,   -4.756180e-02,   -5.670618e-02,    6.016537e-02,   -1.111344e-02,   -2.060468e-03,   -4.348757e-01,    9.570312e-02,   -1.199473e-01,    9.453415e-02,   -6.529901e-01,   -7.865895e-01,    1.842446e-02,   -1.290766e-01,   -4.629300e-03,    6.725600e-03,    5.487900e-02,   -4.719700e-02,   -5.922600e-02,    5.713000e-02,   -1.102900e-02,   -2.652000e-03,    3.646600e-03,    3.646600e-03,    3.858900e-03,    3.858900e-03,    3.858900e-03,    3.858900e-03,    4.582800e-03,    4.582800e-03,
         4,    1.584800e+01,   -5.084984e-03,    7.964440e-03,    6.533869e-02,   -6.146902e-02,   -7.020526e-02,    7.724240e-02,   -1.142222e-02,   -7.062505e-03,   -6.559589e-01,   -3.812724e-01,   -4.174081e-01,    1.410052e-01,   -1.307367e-01,   -1.203590e+00,   -4.436545e-02,   -1.849298e-01,   -8.026500e-03,    6.254700e-03,    6.337600e-02,   -6.080600e-02,   -7.082000e-02,    7.158300e-02,   -1.167400e-02,   -8.112000e-03,    4.484300e-03,    4.484300e-03,    4.702100e-03,    4.702100e-03,    4.702100e-03,    4.702100e-03,    5.675100e-03,    5.675100e-03,
         5,    6.309500e+00,   -7.779049e-03,   -7.707631e-03,    3.929721e-02,   -3.474402e-02,   -4.107853e-02,    2.183003e-02,   -9.874922e-04,    2.854226e-03,   -2.152637e-01,   -4.075519e-01,   -7.224007e-03,    4.721231e-01,    9.822188e-01,   -4.666703e-01,    1.355535e+00,   -1.655271e-01,   -8.604800e-03,   -9.271000e-03,    3.928000e-02,   -3.361900e-02,   -3.873800e-02,    2.071800e-02,    1.301600e-03,    2.574700e-03,    3.836000e-03,    3.836000e-03,    2.382900e-03,    2.382900e-03,    2.382900e-03,    2.382900e-03,    1.688700e-03,    1.688700e-03,
