MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.511800e+01,   -1.400671e-02,    9.918408e-04,    5.553442e-02,   -4.319154e-02,   -9.066267e-02,    5.510111e-02,    3.425915e-02,   -1.974499e-02,    8.689063e-01,   -7.742940e-01,   -5.379484e-03,   -3.348409e-01,    2.207068e-01,    4.787583e-01,    1.016275e+00,   -4.972266e-01,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.501795e-02,    4.128814e-03,    6.395350e-02,   -5.711781e-02,   -1.045600e-01,    7.388854e-02,    3.969431e-02,   -2.528966e-02,    1.344950e+00,   -6.369770e-01,   -3.181902e-01,    5.208529e-01,    4.316200e-01,   -6.351086e-01,    8.294192e-01,   -2.090632e-01,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -1.780038e-02,    6.179079e-03,    7.688680e-02,   -7.668653e-02,   -1.241134e-01,    9.628844e-02,    4.759365e-02,   -3.140117e-02,    1.268351e+00,   -6.243822e-02,   -2.368169e-01,    6.787030e-01,   -1.756051e-01,   -8.422484e-01,    8.388391e-01,   -3.103599e-03,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    2.511800e+01,   -5.086484e-03,   -4.222377e-03,    6.513370e-02,   -6.554562e-02,   -5.152071e-02,    5.591014e-02,   -3.217709e-03,    6.176516e-03,   -8.535554e-01,   -9.769359e-02,    6.817053e-01,   -4.087935e-01,   -1.351871e+00,   -2.438333e-01,   -7.022761e-02,    5.089126e-01,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
         2,    3.981000e+01,   -4.292476e-03,   -2.396984e-03,    8.133812e-02,   -8.569168e-02,   -6.529785e-02,    7.552235e-02,   -5.270982e-03,    8.164021e-03,   -1.479469e-01,   -7.082036e-02,    9.388838e-01,   -4.028185e-01,   -1.402701e+00,    1.695043e-01,   -3.660523e-01,    3.682978e-01,   -4.874100e-03,   -2.675400e-03,    8.670900e-02,   -8.799600e-02,   -7.332200e-02,    7.649200e-02,   -7.269700e-03,    1.017500e-02,    3.931300e-03,    3.931300e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.460200e-03,    5.460200e-03,
         2,    6.309500e+01,   -3.835471e-03,   -1.669357e-03,    1.042997e-01,   -1.102687e-01,   -8.486519e-02,    9.942579e-02,   -8.714531e-03,    9.838090e-03,    5.660822e-01,    3.882923e-01,    5.926786e-01,   -1.551937e-01,   -9.934576e-01,    2.008661e-01,   -5.001489e-01,    2.177904e-01,   -2.229100e-03,   -5.675000e-04,    1.086200e-01,   -1.114000e-01,   -9.210700e-02,    1.008900e-01,   -1.230600e-02,    1.140200e-02,    2.837700e-03,    2.837700e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.180800e-03,    7.180800e-03,
         3,    3.981000e+01,    7.107247e-03,   -1.280509e-02,    8.605112e-02,   -8.501537e-02,   -6.109161e-02,    7.474155e-02,   -2.122434e-02,    1.888539e-02,   -2.778507e+00,   -4.666524e-02,   -1.824214e+00,   -1.931010e+00,    4.002241e-01,   -3.241408e-01,   -5.040924e-01,    1.519129e+00,   -1.289300e-02,   -1.314100e-02,    6.597200e-02,   -1.062700e-01,   -5.892400e-02,    7.298600e-02,   -2.598000e-02,    3.321700e-02,    7.198200e-03,    7.198200e-03,    1.100700e-02,    1.100700e-02,    5.416000e-03,    5.416000e-03,    9.434100e-03,    9.434100e-03,
         3,    6.309500e+01,    1.069790e-02,   -1.520779e-02,    1.092863e-01,   -1.066474e-01,   -8.032802e-02,    9.673162e-02,   -2.713791e-02,    2.250183e-02,   -1.978555e+00,   -4.955978e-01,   -5.441030e-01,   -2.455451e+00,    1.627492e-02,    1.783597e-01,   -1.123733e+00,    9.768052e-01,   -6.693200e-03,   -1.956400e-02,    1.042800e-01,   -1.292400e-01,   -8.021000e-02,    9.802500e-02,   -4.103400e-02,    3.458100e-02,    8.789800e-03,    8.789800e-03,    9.201000e-03,    9.201000e-03,    7.251500e-03,    7.251500e-03,    1.236600e-02,    1.236600e-02,
         4,    2.511800e+01,   -8.206347e-03,    1.089968e-02,    7.678486e-02,   -8.035492e-02,   -8.662329e-02,    1.005726e-01,   -9.279704e-03,   -1.457145e-02,   -2.454696e-01,   -1.016514e+00,   -9.791492e-02,    7.195614e-02,    4.389943e-01,   -1.201692e+00,   -8.227481e-02,   -1.839176e-01,   -9.490300e-03,    5.582700e-03,    7.620800e-02,   -7.993100e-02,   -8.403700e-02,    9.349300e-02,   -9.878500e-03,   -1.591000e-02,    5.230600e-03,    5.230600e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    7.278000e-03,    7.278000e-03,
         4,    3.981000e+01,   -1.200179e-02,    1.276068e-02,    9.299059e-02,   -1.072850e-01,   -1.087285e-01,    1.333939e-01,   -6.012969e-03,   -2.359323e-02,   -2.219711e-01,   -1.489371e+00,    2.725114e-02,   -4.046815e-01,    9.543137e-01,   -9.341036e-01,    3.856395e-03,   -2.784092e-01,   -1.348700e-02,    2.795300e-03,    9.319900e-02,   -1.103800e-01,   -1.014300e-01,    1.262500e-01,   -5.974700e-03,   -2.635600e-02,    6.691000e-03,    6.691000e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    9.923400e-03,    9.923400e-03,
