MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.584800e+00,   -1.804724e-02,    4.516111e-03,    1.795032e-02,   -1.382717e-02,   -5.150952e-02,    2.368153e-02,    1.723087e-02,   -7.569240e-03,   -7.303345e-01,    2.360960e-02,    3.827314e-02,    2.893625e-02,    4.775914e-01,   -1.080998e+00,    1.900227e-01,   -6.477613e-02,   -2.043500e-02,    4.593300e-03,    1.801800e-02,   -1.377600e-02,   -5.066500e-02,    2.177000e-02,    1.817300e-02,   -7.890400e-03,    3.269400e-03,    3.269400e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    4.958000e-03,    4.958000e-03,
         1,    2.511800e+00,   -1.981870e-02,    2.981624e-03,    2.203792e-02,   -1.796764e-02,   -5.869157e-02,    2.526247e-02,    1.957814e-02,   -8.732323e-03,   -3.418190e-01,   -8.078325e-02,   -1.856659e-01,   -2.858293e-01,    6.331737e-01,   -2.091393e-01,    7.798671e-02,   -3.203214e-01,   -2.108100e-02,    2.683300e-03,    2.164600e-02,   -1.857100e-02,   -5.735500e-02,    2.482100e-02,    2.001800e-02,   -1.053900e-02,    3.692900e-03,    3.692900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    5.640200e-03,    5.640200e-03,
         1,    3.981000e+00,   -2.063632e-02,    6.949781e-04,    2.777768e-02,   -2.238636e-02,   -6.585571e-02,    2.650621e-02,    2.212105e-02,   -9.851721e-03,   -1.968978e-01,   -1.929118e-01,   -2.401188e-01,   -1.100344e-01,   -3.034375e-02,    4.127866e-01,    1.079432e-01,   -6.042293e-01,   -2.145000e-02,   -1.022300e-04,    2.717400e-02,   -2.266300e-02,   -6.593200e-02,    2.754400e-02,    2.282800e-02,   -1.380900e-02,    4.132500e-03,    4.132500e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    6.549300e-03,    6.549300e-03,
         2,    1.584800e+00,   -1.387639e-02,    2.423137e-03,    1.708449e-02,   -1.568921e-02,   -2.051464e-02,    1.339980e-02,    1.615531e-03,    1.184844e-03,    7.842059e-01,    2.723137e-01,   -4.420126e-01,    1.517915e-01,    6.240520e-01,   -1.299322e+00,    1.126757e+00,    6.767836e-01,   -1.197900e-02,    3.082000e-03,    1.483000e-02,   -1.491500e-02,   -1.982600e-02,    1.196600e-02,    3.214400e-03,    2.145200e-03,    2.419500e-03,    2.419500e-03,    5.100500e-03,    5.100500e-03,    1.103500e-03,    1.103500e-03,    1.419000e-03,    1.419000e-03,
         2,    2.511800e+00,   -1.506892e-02,    7.373723e-04,    2.131811e-02,   -2.099285e-02,   -2.396779e-02,    1.603673e-02,    1.277765e-03,    1.867146e-03,    9.092846e-02,    5.104264e-02,   -5.126721e-01,   -1.366145e-01,    9.203078e-01,   -3.435599e-01,    6.975402e-01,    8.147993e-01,   -1.478700e-02,    8.956300e-04,    1.914100e-02,   -2.157300e-02,   -2.267200e-02,    1.555300e-02,    2.365300e-03,    3.137500e-03,    3.100500e-03,    3.100500e-03,    4.246600e-03,    4.246600e-03,    1.408000e-03,    1.408000e-03,    1.559100e-03,    1.559100e-03,
         2,    3.981000e+00,   -1.534759e-02,   -1.785001e-03,    2.735864e-02,   -2.712181e-02,   -2.788025e-02,    1.935596e-02,    6.509037e-04,    2.603258e-03,   -3.228145e-01,    3.518762e-01,   -4.788164e-02,   -4.093976e-01,    5.610041e-01,    2.088958e-01,    1.975511e-01,    5.831983e-01,   -1.658400e-02,   -4.372800e-04,    2.721500e-02,   -2.835000e-02,   -2.686500e-02,    1.973400e-02,    9.803400e-04,    3.575800e-03,    3.830100e-03,    3.830100e-03,    3.000000e-03,    3.000000e-03,    1.809700e-03,    1.809700e-03,    1.667600e-03,    1.667600e-03,
         4,    2.511800e+00,   -1.458711e-03,    1.105175e-03,    3.237980e-02,   -2.357979e-02,   -2.833625e-02,    2.911291e-02,   -3.972402e-03,    3.223622e-03,    2.879780e-01,    4.667381e-01,    3.036565e-01,   -6.851637e-01,   -1.257568e-01,    2.760060e-01,    1.099809e-01,    2.251983e-01,   -1.061100e-03,    1.749600e-03,    3.300700e-02,   -2.499500e-02,   -2.859600e-02,    2.968300e-02,   -3.729300e-03,    3.721400e-03,    1.380700e-03,    1.380700e-03,    2.065500e-03,    2.065500e-03,    2.065500e-03,    2.065500e-03,    2.210400e-03,    2.210400e-03,
         4,    3.981000e+00,   -1.103658e-03,    2.505962e-03,    3.856835e-02,   -2.956309e-02,   -3.593436e-02,    3.731202e-02,   -6.106748e-03,    2.843408e-03,   -7.229432e-02,    3.965665e-01,    2.291800e-01,   -4.852971e-01,   -1.420025e-01,    1.295186e-02,   -1.356452e-01,    2.373459e-01,   -1.247300e-03,    3.293900e-03,    3.915200e-02,   -3.079900e-02,   -3.629600e-02,    3.734500e-02,   -6.506400e-03,    3.542700e-03,    1.986900e-03,    1.986900e-03,    2.546700e-03,    2.546700e-03,    2.546700e-03,    2.546700e-03,    2.946300e-03,    2.946300e-03,
         5,    1.584800e+00,   -9.407245e-03,    3.495472e-04,    1.815299e-02,   -1.649243e-02,   -2.466963e-02,    1.424603e-02,    1.675569e-03,    1.279778e-03,    3.040622e-01,   -2.000254e-01,    9.728532e-01,   -2.913846e-01,    1.504245e-01,   -6.274492e-01,    7.615126e-01,    7.226189e-01,   -8.723500e-03,   -1.002500e-04,    1.945700e-02,   -1.688300e-02,   -2.446800e-02,    1.340500e-02,    2.836800e-03,    2.381700e-03,    2.248700e-03,    2.248700e-03,    1.340400e-03,    1.340400e-03,    1.340400e-03,    1.340400e-03,    1.524900e-03,    1.524900e-03,
         5,    2.511800e+00,   -1.003695e-02,   -1.529766e-03,    2.286282e-02,   -2.189882e-02,   -2.890267e-02,    1.646585e-02,    1.162355e-03,    1.951391e-03,   -1.963697e-02,   -7.358712e-02,    6.837895e-01,   -3.733048e-01,    5.359184e-01,   -4.063007e-01,    8.278695e-01,    5.610451e-01,   -1.009100e-02,   -1.732300e-03,    2.397500e-02,   -2.250600e-02,   -2.803100e-02,    1.580500e-02,    2.544400e-03,    2.888000e-03,    2.752300e-03,    2.752300e-03,    1.626500e-03,    1.626500e-03,    1.626500e-03,    1.626500e-03,    1.669400e-03,    1.669400e-03,
         5,    3.981000e+00,   -9.796609e-03,   -4.268372e-03,    2.962765e-02,   -2.787623e-02,   -3.384315e-02,    1.866545e-02,    2.385287e-04,    2.477201e-03,   -1.144859e-01,   -2.543161e-01,    9.081774e-01,   -2.983909e-01,    3.599827e-01,   -1.829238e-01,    8.621810e-01,    1.619375e-01,   -1.017400e-02,   -5.106700e-03,    3.144700e-02,   -2.847400e-02,   -3.312200e-02,    1.829900e-02,    1.663800e-03,    2.744900e-03,    3.296400e-03,    3.296400e-03,    2.003300e-03,    2.003300e-03,    2.003300e-03,    2.003300e-03,    1.653100e-03,    1.653100e-03,
         6,    1.584800e+00,    6.443116e-02,   -4.371068e-02,    3.784363e-02,   -3.848114e-02,   -8.544730e-02,    6.242722e-02,   -3.546684e-02,    3.474836e-02,    7.234731e-01,    1.872167e-01,   -1.030370e+00,   -3.415675e-01,   -1.167500e+00,   -1.970957e+00,    2.615572e-01,   -5.614584e-02,    7.157900e-02,   -4.186100e-02,    3.401900e-02,   -3.974900e-02,   -8.997300e-02,    5.478700e-02,   -3.269800e-02,    3.415400e-02,    9.879900e-03,    9.879900e-03,    3.711900e-03,    3.711900e-03,    3.876400e-03,    3.876400e-03,    1.058600e-02,    1.058600e-02,
         6,    2.511800e+00,    7.886646e-02,   -5.320750e-02,    4.894532e-02,   -5.130368e-02,   -1.046111e-01,    7.763751e-02,   -4.701835e-02,    4.511696e-02,    5.403248e-01,    6.402441e-02,   -9.674834e-01,   -1.507380e-01,   -9.655008e-01,   -1.101921e+00,    3.828770e-01,   -1.698354e-01,    8.558000e-02,   -5.241200e-02,    4.436700e-02,   -5.201700e-02,   -1.091800e-01,    7.242300e-02,   -4.192800e-02,    4.285900e-02,    1.242500e-02,    1.242500e-02,    4.732200e-03,    4.732200e-03,    4.732200e-03,    4.732200e-03,    1.329500e-02,    1.329500e-02,
