        48
         1      -0.312526       0.016592       0.224314      -0.290687         0
         2      -0.241039       0.053550       0.001161      -0.259038         0
         3      -0.192192      -0.075027      -0.134351      -0.200793         0
         4      -0.184397       0.060123       0.107759      -0.115404         0
         5      -0.211538       0.027685       0.027413      -0.371562         0
         6      -0.459645      -0.018736      -0.053106      -0.606983         0
         7       0.091613       0.059036      -0.193392       0.136229         0
         8       0.115621       0.944986       0.100791      -0.375870         0
         9       0.019195      -0.024905      -0.037097      -0.000894         0
        10       2.148444      -0.007760       1.111404       2.158054         0
        11      -0.148058       0.036473       0.005658      -0.108086         0
        12      -0.377008       0.078575       0.205654      -0.321794         0
        13       0.231164      -0.096860      -0.061560       0.219835         0
        14       1.241377      -0.719171      -0.741113       0.436305         0
        15       0.149944      -0.006594      -0.074518       0.179743         0
        16      -0.019705      -0.050736      -0.045974       0.157154         0
        17      -0.373685       0.077115       0.011933      -0.361406         0
        18       0.060254      -0.490792      -0.407507       1.053152         0
        19      -0.280663      -0.021217       0.162156      -0.274130         0
        20       0.552846       0.367220       0.160662       0.523292         0
        21       0.189566       0.017989      -0.013312       0.147056         0
        22      -0.400458       0.007332      -0.023701      -0.435582         0
        23      -0.266610      -0.023447       0.019889      -0.277357         0
        24      -0.443214      -0.004699      -0.009756      -0.501144         0
        25       1.178884      -0.273535      -0.576022       1.570076         0
        26       0.557548       0.009851      -0.044594       0.368373         0
        27      -0.116615       0.007838       0.011538      -0.111907         0
        28       0.727766      -0.798980      -0.414966       0.520146         0
        29      -0.323824      -0.244837       0.038714      -0.224179         0
        30       0.157442      -0.507437      -0.553875       0.752867         0
        31       1.416726       0.143732       0.042632       0.758392         0
        32      -0.251068      -0.022833       0.038191      -0.221847         0
        33       0.565475      -0.076677      -0.025728       0.405792         0
        34       0.305970      -0.018120      -0.020377       0.521737         0
        35       2.313011      -0.290365       0.089129       1.818278         0
        36       0.030047      -0.044966       0.122303       0.335654         0
        37       2.651328      -0.112570       0.467685       2.622081         0
        38       0.651317      -0.060425      -0.043018       0.693428         0
        39       0.509623       0.021291      -0.052444       0.571531         0
        40      -0.278975      -0.020456       0.017613      -0.328785         0
        41      -0.723949      -0.044644      -0.027008      -0.714253         0
        42       0.044672      -0.156524      -0.107370       0.218674         0
        43      -0.293782       0.085482       0.146812      -0.260730         0
        44      -0.344097       0.003467      -0.002071      -0.376417         0
        45      -0.056025      -0.004548       0.043718      -0.084948         0
        46      -0.290492       0.121834       0.062499      -0.304983         0
        47      -0.419299       0.094620       0.088163      -0.450232         0
        48       0.164867       0.008173      -0.085833       0.170860         0
