MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+02,   -2.339959e-02,    5.351975e-03,    1.094838e-01,   -1.173538e-01,   -1.629916e-01,    1.356054e-01,    4.339200e-02,   -2.109227e-02,    1.123740e+00,    7.773211e-01,   -1.503240e+00,    1.958125e+00,    2.906122e-01,   -1.935600e+00,    1.706410e+00,   -7.351658e-01,   -1.479500e-02,    1.130400e-02,    9.690600e-02,   -1.009700e-01,   -1.605600e-01,    1.194100e-01,    7.666700e-02,   -3.542800e-02,    7.657100e-03,    7.657100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    1.950000e-02,    1.950000e-02,
         1,    1.584800e+02,   -2.544732e-02,    3.463861e-03,    1.383256e-01,   -1.548425e-01,   -1.972448e-01,    1.754936e-01,    4.924195e-02,   -2.210094e-02,    6.085329e-01,    1.273694e+00,   -1.181234e+00,    1.615849e+00,   -1.781420e-01,   -2.103598e+00,    1.712417e+00,   -5.905410e-01,   -1.917700e-02,    1.658800e-02,    1.255600e-01,   -1.373800e-01,   -1.991700e-01,    1.527600e-01,    8.913100e-02,   -3.585700e-02,    1.030400e-02,    1.030400e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    2.329400e-02,    2.329400e-02,
         1,    2.511800e+02,   -2.595578e-02,    1.329992e-03,    1.769884e-01,   -2.022095e-01,   -2.426068e-01,    2.247297e-01,    5.363999e-02,   -2.417360e-02,    2.570807e-01,    1.450807e+00,   -1.320144e+00,    1.815978e+00,    5.767728e-01,   -2.662121e+00,    1.617120e+00,   -2.301954e-01,   -2.268700e-02,    1.977700e-02,    1.592800e-01,   -1.778500e-01,   -2.348700e-01,    1.890200e-01,    9.586300e-02,   -3.018400e-02,    1.271500e-02,    1.271500e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    2.611000e-02,    2.611000e-02,
         1,    3.981000e+02,   -2.510273e-02,   -1.719708e-04,    2.271494e-01,   -2.615173e-01,   -2.988192e-01,    2.847764e-01,    5.743911e-02,   -2.933343e-02,   -1.694759e-01,    1.330994e+00,   -1.396307e+00,    1.914008e+00,    1.045127e+00,   -2.816878e+00,    1.569570e+00,    7.760424e-02,   -2.771300e-02,    2.032800e-02,    2.036900e-01,   -2.293600e-01,   -2.812600e-01,    2.374500e-01,    1.043300e-01,   -2.701500e-02,    1.540200e-02,    1.540200e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    2.987500e-02,    2.987500e-02,
         1,    6.309500e+02,   -2.343710e-02,   -3.433662e-04,    2.901093e-01,   -3.368278e-01,   -3.652418e-01,    3.618928e-01,    6.249651e-02,   -3.863481e-02,   -5.385251e-01,    1.146430e+00,   -1.062671e+00,    1.849217e+00,    9.242767e-01,   -2.948190e+00,    1.214060e+00,    4.262302e-01,   -3.363300e-02,    2.136200e-02,    2.674000e-01,   -2.973100e-01,   -3.454900e-01,    2.988900e-01,    1.024500e-01,   -2.460800e-02,    1.893300e-02,    1.893300e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    3.290900e-02,    3.290900e-02,
         1,    1.000000e+03,   -2.168023e-02,    1.059942e-03,    3.680595e-01,   -4.347947e-01,   -4.446331e-01,    4.664150e-01,    7.007437e-02,   -5.199451e-02,   -7.117838e-01,    1.142634e+00,   -5.356360e-01,    2.183323e+00,   -1.101566e-01,   -3.435752e+00,    8.449950e-01,    5.392577e-01,   -3.836800e-02,    2.784900e-02,    3.533900e-01,   -3.750000e-01,   -4.476500e-01,    3.723200e-01,    1.016400e-01,   -3.185000e-02,    2.344500e-02,    2.344500e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    3.735600e-02,    3.735600e-02,
         2,    1.000000e+02,    2.698823e-03,   -6.419594e-03,    1.489267e-01,   -1.567607e-01,   -1.237901e-01,    1.458200e-01,   -1.456608e-02,    1.212038e-02,   -1.586390e+00,    1.907678e+00,   -1.823316e+00,    2.304329e+00,    1.233353e+00,   -2.436429e+00,   -3.277463e-01,   -2.595209e-01,   -2.835300e-03,    2.353400e-04,    1.326500e-01,   -1.361900e-01,   -1.127800e-01,    1.240700e-01,   -1.741400e-02,    9.865300e-03,    3.488500e-03,    3.488500e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.689400e-03,    8.689400e-03,
         2,    1.584800e+02,    7.098530e-03,   -3.771227e-03,    1.873073e-01,   -1.975725e-01,   -1.599463e-01,    1.878596e-01,   -1.891334e-02,    1.079590e-02,   -2.449118e+00,    1.221182e+00,   -2.254116e+00,    1.998101e+00,    1.631408e+00,   -2.348071e+00,   -4.413215e-01,   -4.620292e-01,   -2.827500e-03,    1.178100e-03,    1.618200e-01,   -1.749800e-01,   -1.415000e-01,    1.613100e-01,   -2.370300e-02,    5.781500e-03,    4.052900e-03,    4.052900e-03,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.085300e-02,    1.085300e-02,
         2,    2.511800e+02,    8.573562e-03,    2.297114e-03,    2.336976e-01,   -2.523951e-01,   -2.055457e-01,    2.419130e-01,   -2.063393e-02,    8.547358e-03,   -2.087232e+00,    2.116791e-01,   -2.427127e+00,    2.223445e+00,    2.405164e+00,   -2.231043e+00,   -5.246428e-01,   -7.779393e-01,   -2.893900e-03,    3.460100e-03,    1.992300e-01,   -2.208200e-01,   -1.713900e-01,    2.102300e-01,   -2.742700e-02,   -1.525400e-03,    5.494100e-03,    5.494100e-03,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.294800e-02,    1.294800e-02,
         2,    3.981000e+02,    5.269957e-03,    7.780490e-03,    2.934291e-01,   -3.259051e-01,   -2.631465e-01,    3.119348e-01,   -1.885428e-02,    8.610171e-03,   -8.755007e-01,    2.883928e-01,   -2.620801e+00,    2.346008e+00,    2.867604e+00,   -1.869223e+00,   -5.178458e-01,   -1.359273e+00,   -3.180200e-03,    1.056400e-02,    2.459900e-01,   -2.834400e-01,   -2.112400e-01,    2.781000e-01,   -2.671000e-02,   -1.201000e-02,    9.651800e-03,    9.651800e-03,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.517000e-02,    1.517000e-02,
