MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    3.981000e+02,   -2.571254e-02,    2.993596e-03,    1.972136e-01,   -2.251117e-01,   -2.733120e-01,    2.485706e-01,    8.799667e-02,   -6.345063e-02,   -1.298833e-01,    1.125464e+00,    3.854763e-01,   -2.528600e-01,   -4.730667e-01,   -6.619029e-01,    5.467225e-01,    1.219603e+00,   -2.771300e-02,    2.032800e-02,    2.036900e-01,   -2.293600e-01,   -2.812600e-01,    2.374500e-01,    1.043300e-01,   -2.701500e-02,    1.540200e-02,    1.540200e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    2.987500e-02,    2.987500e-02,
         1,    6.309500e+02,   -2.505180e-02,    2.778672e-03,    2.516293e-01,   -2.899661e-01,   -3.316363e-01,    3.130902e-01,    1.010164e-01,   -8.194648e-02,   -4.532406e-01,    9.815311e-01,    7.379817e-01,   -3.436560e-01,   -6.482783e-01,   -6.644922e-01,    4.356301e-02,    1.742334e+00,   -3.363300e-02,    2.136200e-02,    2.674000e-01,   -2.973100e-01,   -3.454900e-01,    2.988900e-01,    1.024500e-01,   -2.460800e-02,    1.893300e-02,    1.893300e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    3.290900e-02,    3.290900e-02,
         1,    1.000000e+03,   -2.410369e-02,    4.227849e-03,    3.196392e-01,   -3.740918e-01,   -4.006681e-01,    4.009503e-01,    1.186407e-01,   -1.080692e-01,   -6.084158e-01,    1.007513e+00,    1.232367e+00,   -3.316038e-02,   -1.715481e+00,   -1.045397e+00,   -4.550992e-01,    2.040347e+00,   -3.836800e-02,    2.784900e-02,    3.533900e-01,   -3.750000e-01,   -4.476500e-01,    3.723200e-01,    1.016400e-01,   -3.185000e-02,    2.344500e-02,    2.344500e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    3.735600e-02,    3.735600e-02,
         2,    3.981000e+02,   -4.044515e-03,    1.817931e-02,    2.601842e-01,   -2.906437e-01,   -2.326566e-01,    2.750081e-01,   -1.652334e-02,    5.636748e-03,    8.954965e-02,   -7.890042e-01,   -7.841658e-01,    3.979751e-01,    1.183173e+00,    1.708150e-01,   -6.715001e-01,   -1.163266e+00,   -3.180200e-03,    1.056400e-02,    2.459900e-01,   -2.834400e-01,   -2.112400e-01,    2.781000e-01,   -2.671000e-02,   -1.201000e-02,    9.651800e-03,    9.651800e-03,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.517000e-02,    1.517000e-02,
         2,    6.309500e+02,   -1.133631e-02,    2.359335e-02,    3.296492e-01,   -3.764140e-01,   -2.965861e-01,    3.557664e-01,   -1.342351e-02,    9.505057e-03,    1.784822e-01,   -5.946058e-01,   -8.854238e-01,   -1.534809e-01,    9.279945e-01,    8.839318e-01,   -5.505641e-01,   -1.772396e+00,   -8.846300e-03,    1.529800e-02,    3.085000e-01,   -3.800800e-01,   -2.744200e-01,    3.768800e-01,   -2.376200e-02,   -2.377700e-02,    1.395100e-02,    1.395100e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    1.877800e-02,    1.877800e-02,
         2,    1.000000e+03,   -1.832506e-02,    2.810555e-02,    4.169369e-01,   -4.871597e-01,   -3.773405e-01,    4.630780e-01,   -1.162632e-02,    1.819275e-02,   -5.172829e-01,    5.705131e-01,   -5.602368e-01,   -7.273173e-01,    2.354677e-01,    1.525344e+00,   -3.181617e-01,   -2.285322e+00,   -3.300400e-02,    4.429500e-02,    3.990200e-01,   -5.104200e-01,   -3.698100e-01,    5.118600e-01,   -1.948300e-02,   -3.824100e-02,    2.837700e-02,    2.837700e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    2.469400e-02,    2.469400e-02,
         3,    3.981000e+02,    2.922956e-02,   -1.841175e-02,    2.565155e-01,   -2.694203e-01,   -2.242000e-01,    2.639449e-01,   -5.351125e-02,    4.446143e-02,    1.110078e-01,   -1.102980e+00,   -4.466231e-01,    5.354784e-01,    5.309156e-01,    3.296312e-01,   -8.911470e-01,   -1.427074e+00,    3.150000e-02,   -4.097100e-02,    2.486500e-01,   -2.599900e-01,   -2.148500e-01,    2.697500e-01,   -7.511800e-02,    9.860600e-03,    2.045300e-02,    2.045300e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    2.424600e-02,    2.424600e-02,
         3,    6.309500e+02,    3.131587e-02,   -2.338107e-02,    3.198043e-01,   -3.487820e-01,   -2.869893e-01,    3.395488e-01,   -6.277354e-02,    5.887377e-02,    4.638491e-01,   -8.925996e-01,   -8.446905e-01,    6.553905e-01,    4.893977e-02,    2.952042e-01,   -4.297266e-01,   -1.959572e+00,    4.301600e-02,   -4.589600e-02,    3.008300e-01,   -3.340600e-01,   -2.858900e-01,    3.461800e-01,   -7.458200e-02,    5.026700e-03,    2.522400e-02,    2.522400e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.747900e-02,    2.747900e-02,
         3,    1.000000e+03,    3.534666e-02,   -3.203755e-02,    4.008261e-01,   -4.525023e-01,   -3.653793e-01,    4.389496e-01,   -7.656571e-02,    7.824909e-02,    5.379148e-01,   -1.324990e-01,   -1.176762e+00,    4.583920e-01,   -6.615325e-01,    3.582753e-01,    2.029119e-01,   -2.507623e+00,    5.053200e-02,   -3.577800e-02,    3.666000e-01,   -4.391700e-01,   -3.846200e-01,    4.493700e-01,   -7.035600e-02,    1.508300e-03,    2.823000e-02,    2.823000e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    3.060300e-02,    3.060300e-02,
         4,    3.981000e+02,   -4.095419e-02,    3.454203e-02,    3.415883e-01,   -4.958764e-01,   -4.197139e-01,    5.465818e-01,    6.761274e-02,   -9.082893e-02,    2.019029e-01,    1.048969e+00,   -8.964336e-01,   -6.432343e-02,    1.273037e-01,    7.853775e-01,    4.260691e-01,    5.417997e-03,   -3.454700e-02,    6.783000e-02,    3.126900e-01,   -4.979500e-01,   -4.156100e-01,    5.719000e-01,    8.663800e-02,   -9.058700e-02,    3.173400e-02,    3.173400e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    4.465300e-02,    4.465300e-02,
