MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+00,   -1.594245e-02,    4.930652e-03,    1.542494e-02,   -1.050226e-02,   -4.510511e-02,    2.171741e-02,    1.442026e-02,   -5.931615e-03,   -9.208769e-01,    4.123688e-01,   -7.973551e-01,    6.728568e-01,   -6.416804e-01,   -2.204600e+00,    4.657776e-01,    1.580827e-01,   -1.846400e-02,    6.059800e-03,    1.426200e-02,   -9.520900e-03,   -4.604100e-02,    1.850200e-02,    1.646600e-02,   -5.237300e-03,    2.738200e-03,    2.738200e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    4.392100e-03,    4.392100e-03,
         1,    1.584800e+00,   -1.779981e-02,    4.096469e-03,    1.814930e-02,   -1.392360e-02,   -5.157248e-02,    2.342860e-02,    1.611165e-02,   -7.034534e-03,   -8.060150e-01,    1.519638e-01,   -7.424976e-02,    8.347163e-02,    5.131932e-01,   -9.379629e-01,    4.157629e-01,   -1.726231e-01,   -2.043500e-02,    4.593300e-03,    1.801800e-02,   -1.377600e-02,   -5.066500e-02,    2.177000e-02,    1.817300e-02,   -7.890400e-03,    3.269400e-03,    3.269400e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    4.958000e-03,    4.958000e-03,
         1,    2.511800e+00,   -1.934047e-02,    2.594491e-03,    2.228385e-02,   -1.807326e-02,   -5.861061e-02,    2.504246e-02,    1.820692e-02,   -8.228435e-03,   -4.713192e-01,    2.404860e-02,   -3.021708e-01,   -2.357942e-01,    5.948227e-01,   -1.049128e-01,    3.211020e-01,   -4.096601e-01,   -2.108100e-02,    2.683300e-03,    2.164600e-02,   -1.857100e-02,   -5.735500e-02,    2.482100e-02,    2.001800e-02,   -1.053900e-02,    3.692900e-03,    3.692900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    5.640200e-03,    5.640200e-03,
         1,    3.981000e+00,   -1.993310e-02,    4.769958e-04,    2.809942e-02,   -2.246600e-02,   -6.561703e-02,    2.641173e-02,    2.057394e-02,   -9.499779e-03,   -3.670654e-01,   -1.401635e-01,   -3.680932e-01,   -7.835613e-02,   -1.252823e-01,    4.503680e-01,    3.441681e-01,   -6.579666e-01,   -2.145000e-02,   -1.022300e-04,    2.717400e-02,   -2.266300e-02,   -6.593200e-02,    2.754400e-02,    2.282800e-02,   -1.380900e-02,    4.132500e-03,    4.132500e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    6.549300e-03,    6.549300e-03,
         2,    1.000000e+00,   -1.224442e-02,    2.911355e-03,    1.481649e-02,   -1.159345e-02,   -1.787753e-02,    1.137162e-02,    1.797379e-03,    6.581660e-04,   -5.678678e-02,    1.389472e-01,    1.300506e-02,   -1.174393e-01,   -1.070292e-01,   -1.815982e+00,    1.049029e+00,    6.330364e-01,   -1.237800e-02,    3.238200e-03,    1.488000e-02,   -1.216700e-02,   -1.798400e-02,    9.565100e-03,    3.113700e-03,    1.452500e-03,    2.352300e-03,    2.352300e-03,    4.883800e-03,    4.883800e-03,    9.947900e-04,    9.947900e-04,    1.254800e-03,    1.254800e-03,
         2,    1.584800e+00,   -1.350579e-02,    1.873866e-03,    1.756464e-02,   -1.578478e-02,   -2.085170e-02,    1.341866e-02,    1.648155e-03,    1.190034e-03,    6.310347e-01,    4.993320e-01,   -5.361517e-01,    1.705290e-01,    9.294984e-01,   -1.316408e+00,    1.103767e+00,    6.731261e-01,   -1.197900e-02,    3.082000e-03,    1.483000e-02,   -1.491500e-02,   -1.982600e-02,    1.196600e-02,    3.214400e-03,    2.145200e-03,    2.419500e-03,    2.419500e-03,    5.100500e-03,    5.100500e-03,    1.103500e-03,    1.103500e-03,    1.419000e-03,    1.419000e-03,
         2,    2.511800e+00,   -1.441804e-02,    1.677760e-04,    2.184973e-02,   -2.108309e-02,   -2.435219e-02,    1.599556e-02,    1.270304e-03,    1.822611e-03,   -1.190014e-01,    2.347537e-01,   -6.378586e-01,   -1.153656e-01,    1.193318e+00,   -3.143152e-01,    7.023258e-01,    8.433642e-01,   -1.478700e-02,    8.956300e-04,    1.914100e-02,   -2.157300e-02,   -2.267200e-02,    1.555300e-02,    2.365300e-03,    3.137500e-03,    3.100500e-03,    3.100500e-03,    4.246600e-03,    4.246600e-03,    1.408000e-03,    1.408000e-03,    1.559100e-03,    1.559100e-03,
         2,    3.981000e+00,   -1.441750e-02,   -2.208535e-03,    2.797626e-02,   -2.715352e-02,   -2.827282e-02,    1.918811e-02,    6.525364e-04,    2.433347e-03,   -5.656506e-01,    4.624565e-01,   -2.537526e-01,   -3.988267e-01,    7.779321e-01,    3.016460e-01,    1.965721e-01,    6.850879e-01,   -1.658400e-02,   -4.372800e-04,    2.721500e-02,   -2.835000e-02,   -2.686500e-02,    1.973400e-02,    9.803400e-04,    3.575800e-03,    3.830100e-03,    3.830100e-03,    3.000000e-03,    3.000000e-03,    1.809700e-03,    1.809700e-03,    1.667600e-03,    1.667600e-03,
         4,    3.981000e-01,   -8.191533e-04,    6.335513e-04,    1.956922e-02,   -8.439682e-03,   -1.237006e-02,    1.111162e-02,   -6.692101e-04,    8.689230e-04,   -1.756853e+00,   -5.103251e-01,   -4.891888e-01,    7.328088e-01,   -1.440285e+00,    7.316813e-01,    9.495574e-01,    9.561476e-01,   -2.798600e-03,    5.856800e-05,    1.879400e-02,   -7.278400e-03,   -1.441800e-02,    1.215200e-02,    1.329000e-04,    1.676600e-03,    1.126700e-03,    1.126700e-03,    1.584700e-03,    1.584700e-03,    1.421900e-03,    1.421900e-03,    8.447200e-04,    8.447200e-04,
         4,    6.309500e-01,   -1.113279e-03,    7.681638e-04,    2.146635e-02,   -1.070633e-02,   -1.500180e-02,    1.365990e-02,   -8.763663e-04,    1.357882e-03,   -1.801588e+00,   -5.296372e-01,   -4.179677e-01,    1.099601e+00,   -1.022774e+00,    7.252094e-01,    1.537380e+00,    2.492795e-01,   -3.542900e-03,    5.389500e-05,    2.088500e-02,   -9.176900e-03,   -1.695100e-02,    1.504200e-02,    5.465400e-04,    1.588600e-03,    1.348600e-03,    1.348600e-03,    1.390900e-03,    1.390900e-03,    1.905800e-03,    1.905800e-03,    9.255400e-04,    9.255400e-04,
