MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    6.309500e+00,   -2.361794e-02,   -3.101810e-03,    4.690433e-02,   -3.526443e-02,   -8.422860e-02,    3.584555e-02,    1.689545e-02,   -3.365534e-03,    6.433755e-01,    7.897466e-02,   -4.422151e+00,    3.049228e+00,    3.474128e+00,   -2.224537e+00,    1.474010e+00,   -1.715863e+00,   -2.072500e-02,   -2.746700e-03,    3.396600e-02,   -2.634300e-02,   -7.406400e-02,    2.933700e-02,    2.817000e-02,   -1.649000e-02,    4.496500e-03,    4.496500e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    7.648900e-03,    7.648900e-03,
         1,    1.000000e+01,   -2.069006e-02,   -4.005609e-03,    5.696455e-02,   -3.959789e-02,   -9.148768e-02,    4.168298e-02,    1.752666e-02,   -4.008532e-03,    5.301319e-01,   -1.234812e-01,   -5.333876e+00,    3.108346e+00,    4.160439e+00,   -3.472641e+00,    1.808527e+00,   -1.802290e+00,   -1.826100e-02,   -4.571400e-03,    3.977400e-02,   -2.958000e-02,   -7.807900e-02,    3.049100e-02,    3.285700e-02,   -1.928600e-02,    4.582000e-03,    4.582000e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    8.476700e-03,    8.476700e-03,
         1,    1.584800e+01,   -1.781712e-02,   -2.715285e-03,    6.563741e-02,   -4.536331e-02,   -9.945659e-02,    5.226359e-02,    1.860968e-02,   -5.066419e-03,    7.403527e-01,   -3.932196e-01,   -5.284560e+00,    2.930211e+00,    4.888954e+00,   -3.888209e+00,    2.114214e+00,   -1.807117e+00,   -1.451900e-02,   -4.467000e-03,    4.651100e-02,   -3.475800e-02,   -8.176200e-02,    3.819100e-02,    3.875200e-02,   -2.228300e-02,    4.454800e-03,    4.454800e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    9.527100e-03,    9.527100e-03,
         1,    2.511800e+01,   -1.652545e-02,    3.864603e-04,    7.380618e-02,   -5.607393e-02,   -1.109937e-01,    6.862815e-02,    2.045261e-02,   -6.392147e-03,    1.478578e+00,   -6.277589e-01,   -4.203180e+00,    2.624791e+00,    4.891605e+00,   -2.628976e+00,    2.251870e+00,   -1.692219e+00,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.785430e-02,    3.701840e-03,    8.462081e-02,   -7.401292e-02,   -1.279924e-01,    8.982990e-02,    2.351327e-02,   -7.409889e-03,    2.019967e+00,   -5.353626e-01,   -4.391370e+00,    3.850596e+00,    5.049739e+00,   -3.776882e+00,    2.105325e+00,   -1.618917e+00,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -2.113360e-02,    5.279985e-03,    1.010988e-01,   -9.934689e-02,   -1.501506e-01,    1.161704e-01,    2.766428e-02,   -6.916994e-03,    1.885408e+00,    1.040052e-01,   -4.044627e+00,    4.242492e+00,    3.919258e+00,   -3.969080e+00,    2.132031e+00,   -1.591850e+00,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    6.309500e+00,   -1.339226e-02,   -7.557211e-03,    4.460083e-02,   -4.266729e-02,   -4.096359e-02,    3.002573e-02,   -2.164916e-04,    4.225143e-03,   -7.729913e-01,    7.843437e-01,   -3.438261e+00,    2.899480e+00,    3.994595e+00,   -2.357770e+00,    1.655078e-02,   -4.909526e-02,   -1.675400e-02,   -4.146100e-03,    3.462300e-02,   -3.425300e-02,   -3.208800e-02,    2.478700e-02,   -1.843500e-04,    4.129800e-03,    4.349000e-03,    4.349000e-03,    2.902000e-03,    2.902000e-03,    2.221900e-03,    2.221900e-03,    1.942000e-03,    1.942000e-03,
         2,    1.000000e+01,   -9.674911e-03,   -9.684523e-03,    5.585449e-02,   -5.140991e-02,   -4.687181e-02,    3.866455e-02,   -1.446536e-03,    5.081378e-03,   -1.128040e+00,    7.965962e-01,   -4.541867e+00,    3.470842e+00,    3.361648e+00,   -2.971325e+00,    3.693146e-01,    9.764480e-02,   -1.493000e-02,   -5.973500e-03,    4.313000e-02,   -4.168600e-02,   -3.779200e-02,    3.063900e-02,   -5.530900e-04,    5.317600e-03,    4.658600e-03,    4.658600e-03,    2.801600e-03,    2.801600e-03,    2.701000e-03,    2.701000e-03,    2.419200e-03,    2.419200e-03,
         2,    1.584800e+01,   -5.517582e-03,   -1.034683e-02,    6.744401e-02,   -6.321550e-02,   -5.444275e-02,    5.163416e-02,   -2.700643e-03,    6.167713e-03,   -1.466134e+00,    9.674029e-01,   -4.100534e+00,    3.315372e+00,    2.582391e+00,   -3.476786e+00,    4.100656e-01,    1.213711e-01,   -1.258200e-02,   -5.685500e-03,    5.363300e-02,   -5.204900e-02,   -4.574500e-02,    3.992400e-02,   -1.460400e-03,    6.534800e-03,    4.818400e-03,    4.818400e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.024500e-03,    3.024500e-03,
         2,    2.511800e+01,   -2.047595e-03,   -9.848178e-03,    8.116285e-02,   -8.122869e-02,   -6.559443e-02,    7.024765e-02,   -4.195689e-03,    7.868130e-03,   -1.500885e+00,    1.100688e+00,   -2.994621e+00,    3.188158e+00,    1.875972e+00,   -3.532178e+00,    1.747205e-01,    8.522527e-02,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
