MT    48
1  1  -2.052  1.667  
16
1000.00000 -3.8368e-02 2.7849e-02 3.5339e-01 -3.7500e-01 -4.4765e-01 3.7232e-01 1.0164e-01 -3.1850e-02 2.3445e-02 2.3445e-02 2.7387e-02 2.7387e-02 2.7387e-02 2.7387e-02 3.7356e-02 3.7356e-02 
630.95000 -3.3633e-02 2.1362e-02 2.6740e-01 -2.9731e-01 -3.4549e-01 2.9889e-01 1.0245e-01 -2.4608e-02 1.8933e-02 1.8933e-02 2.1370e-02 2.1370e-02 2.1370e-02 2.1370e-02 3.2909e-02 3.2909e-02 
398.10000 -2.7713e-02 2.0328e-02 2.0369e-01 -2.2936e-01 -2.8126e-01 2.3745e-01 1.0433e-01 -2.7015e-02 1.5402e-02 1.5402e-02 1.6801e-02 1.6801e-02 1.6801e-02 1.6801e-02 2.9875e-02 2.9875e-02 
251.18000 -2.2687e-02 1.9777e-02 1.5928e-01 -1.7785e-01 -2.3487e-01 1.8902e-01 9.5863e-02 -3.0184e-02 1.2715e-02 1.2715e-02 1.3414e-02 1.3414e-02 1.3414e-02 1.3414e-02 2.6110e-02 2.6110e-02 
158.48000 -1.9177e-02 1.6588e-02 1.2556e-01 -1.3738e-01 -1.9917e-01 1.5276e-01 8.9131e-02 -3.5857e-02 1.0304e-02 1.0304e-02 1.0807e-02 1.0807e-02 1.0807e-02 1.0807e-02 2.3294e-02 2.3294e-02 
100.00000 -1.4795e-02 1.1304e-02 9.6906e-02 -1.0097e-01 -1.6056e-01 1.1941e-01 7.6667e-02 -3.5428e-02 7.6571e-03 7.6571e-03 8.3671e-03 8.3671e-03 8.3671e-03 8.3671e-03 1.9500e-02 1.9500e-02 
63.09500 -1.0949e-02 5.8418e-03 7.5381e-02 -7.2371e-02 -1.2523e-01 9.0933e-02 6.0521e-02 -3.1449e-02 5.4018e-03 5.4018e-03 6.3585e-03 6.3585e-03 6.3585e-03 6.3585e-03 1.5411e-02 1.5411e-02 
39.81000 -9.3666e-03 1.4523e-03 6.2339e-02 -5.4475e-02 -1.0237e-01 7.0666e-02 5.0213e-02 -2.7941e-02 4.2019e-03 4.2019e-03 5.0740e-03 5.0740e-03 5.0740e-03 5.0740e-03 1.2682e-02 1.2682e-02 
25.11800 -1.0417e-02 -2.2070e-03 5.5511e-02 -4.4649e-02 -8.9702e-02 5.7185e-02 4.5615e-02 -2.5301e-02 4.1313e-03 4.1313e-03 4.3527e-03 4.3527e-03 4.3527e-03 4.3527e-03 1.1174e-02 1.1174e-02 
15.84800 -1.4519e-02 -4.4670e-03 4.6511e-02 -3.4758e-02 -8.1762e-02 3.8191e-02 3.8752e-02 -2.2283e-02 4.4548e-03 4.4548e-03 3.6193e-03 3.6193e-03 3.6193e-03 3.6193e-03 9.5271e-03 9.5271e-03 
