MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    6.309500e+00,   -2.361794e-02,   -3.101810e-03,    4.690433e-02,   -3.526443e-02,   -8.422860e-02,    3.584555e-02,    1.689545e-02,   -3.365534e-03,    6.433755e-01,    7.897466e-02,   -4.422151e+00,    3.049228e+00,    3.474128e+00,   -2.224537e+00,    1.474010e+00,   -1.715863e+00,   -2.072500e-02,   -2.746700e-03,    3.396600e-02,   -2.634300e-02,   -7.406400e-02,    2.933700e-02,    2.817000e-02,   -1.649000e-02,    4.496500e-03,    4.496500e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    2.925800e-03,    7.648900e-03,    7.648900e-03,
         1,    1.000000e+01,   -2.069006e-02,   -4.005609e-03,    5.696455e-02,   -3.959789e-02,   -9.148768e-02,    4.168298e-02,    1.752666e-02,   -4.008532e-03,    5.301319e-01,   -1.234812e-01,   -5.333876e+00,    3.108346e+00,    4.160439e+00,   -3.472641e+00,    1.808527e+00,   -1.802290e+00,   -1.826100e-02,   -4.571400e-03,    3.977400e-02,   -2.958000e-02,   -7.807900e-02,    3.049100e-02,    3.285700e-02,   -1.928600e-02,    4.582000e-03,    4.582000e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    3.222900e-03,    8.476700e-03,    8.476700e-03,
         1,    1.584800e+01,   -1.781712e-02,   -2.715285e-03,    6.563741e-02,   -4.536331e-02,   -9.945659e-02,    5.226359e-02,    1.860968e-02,   -5.066419e-03,    7.403527e-01,   -3.932196e-01,   -5.284560e+00,    2.930211e+00,    4.888954e+00,   -3.888209e+00,    2.114214e+00,   -1.807117e+00,   -1.451900e-02,   -4.467000e-03,    4.651100e-02,   -3.475800e-02,   -8.176200e-02,    3.819100e-02,    3.875200e-02,   -2.228300e-02,    4.454800e-03,    4.454800e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    3.619300e-03,    9.527100e-03,    9.527100e-03,
         2,    6.309500e+00,   -1.339226e-02,   -7.557211e-03,    4.460083e-02,   -4.266729e-02,   -4.096359e-02,    3.002573e-02,   -2.164916e-04,    4.225143e-03,   -7.729913e-01,    7.843437e-01,   -3.438261e+00,    2.899480e+00,    3.994595e+00,   -2.357770e+00,    1.655078e-02,   -4.909526e-02,   -1.675400e-02,   -4.146100e-03,    3.462300e-02,   -3.425300e-02,   -3.208800e-02,    2.478700e-02,   -1.843500e-04,    4.129800e-03,    4.349000e-03,    4.349000e-03,    2.902000e-03,    2.902000e-03,    2.221900e-03,    2.221900e-03,    1.942000e-03,    1.942000e-03,
         2,    1.000000e+01,   -9.674911e-03,   -9.684523e-03,    5.585449e-02,   -5.140991e-02,   -4.687181e-02,    3.866455e-02,   -1.446536e-03,    5.081378e-03,   -1.128040e+00,    7.965962e-01,   -4.541867e+00,    3.470842e+00,    3.361648e+00,   -2.971325e+00,    3.693146e-01,    9.764480e-02,   -1.493000e-02,   -5.973500e-03,    4.313000e-02,   -4.168600e-02,   -3.779200e-02,    3.063900e-02,   -5.530900e-04,    5.317600e-03,    4.658600e-03,    4.658600e-03,    2.801600e-03,    2.801600e-03,    2.701000e-03,    2.701000e-03,    2.419200e-03,    2.419200e-03,
         2,    1.584800e+01,   -5.517582e-03,   -1.034683e-02,    6.744401e-02,   -6.321550e-02,   -5.444275e-02,    5.163416e-02,   -2.700643e-03,    6.167713e-03,   -1.466134e+00,    9.674029e-01,   -4.100534e+00,    3.315372e+00,    2.582391e+00,   -3.476786e+00,    4.100656e-01,    1.213711e-01,   -1.258200e-02,   -5.685500e-03,    5.363300e-02,   -5.204900e-02,   -4.574500e-02,    3.992400e-02,   -1.460400e-03,    6.534800e-03,    4.818400e-03,    4.818400e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.368100e-03,    3.024500e-03,    3.024500e-03,
         4,    6.309500e+00,    2.792204e-03,    1.069116e-03,    5.399075e-02,   -4.243747e-02,   -4.538045e-02,    4.808942e-02,   -1.493982e-02,    5.900227e-03,   -1.752034e+00,    1.487214e+00,   -2.213822e+00,    1.246947e+00,   -6.594465e-01,   -7.368353e-01,    1.597079e+00,   -1.278404e+00,   -2.033600e-03,    5.165500e-03,    4.698600e-02,   -3.849200e-02,   -4.746700e-02,    4.575800e-02,   -9.059700e-03,    1.193400e-03,    2.754400e-03,    2.754400e-03,    3.164100e-03,    3.164100e-03,    3.164100e-03,    3.164100e-03,    3.681800e-03,    3.681800e-03,
         4,    1.000000e+01,    1.707236e-03,    1.968664e-03,    6.355241e-02,   -5.306866e-02,   -5.678780e-02,    6.122249e-02,   -1.762618e-02,    3.437605e-03,   -1.737656e+00,    1.304485e+00,   -2.247639e+00,    1.521590e+00,   -6.318375e-01,   -1.060532e+00,    1.439552e+00,   -1.328796e+00,   -4.629300e-03,    6.725600e-03,    5.487900e-02,   -4.719700e-02,   -5.922600e-02,    5.713000e-02,   -1.102900e-02,   -2.652000e-03,    3.646600e-03,    3.646600e-03,    3.858900e-03,    3.858900e-03,    3.858900e-03,    3.858900e-03,    4.582800e-03,    4.582800e-03,
         4,    1.584800e+01,    6.993438e-04,    2.303408e-03,    7.459628e-02,   -6.819739e-02,   -7.065440e-02,    7.875721e-02,   -1.907963e-02,    5.044752e-05,   -1.945865e+00,    8.811390e-01,   -2.386227e+00,    1.571934e+00,   -3.521869e-02,   -1.525746e+00,    1.304934e+00,   -1.438291e+00,   -8.026500e-03,    6.254700e-03,    6.337600e-02,   -6.080600e-02,   -7.082000e-02,    7.158300e-02,   -1.167400e-02,   -8.112000e-03,    4.484300e-03,    4.484300e-03,    4.702100e-03,    4.702100e-03,    4.702100e-03,    4.702100e-03,    5.675100e-03,    5.675100e-03,
         5,    6.309500e+00,   -6.911609e-03,   -9.688767e-03,    4.595637e-02,   -4.048657e-02,   -5.820033e-02,    3.080659e-02,   -2.768523e-03,    5.309795e-03,   -4.413949e-01,    1.089071e-01,   -2.801785e+00,    2.882021e+00,    8.167497e+00,   -4.233745e+00,    2.410211e+00,   -1.619645e+00,   -8.604800e-03,   -9.271000e-03,    3.928000e-02,   -3.361900e-02,   -3.873800e-02,    2.071800e-02,    1.301600e-03,    2.574700e-03,    3.836000e-03,    3.836000e-03,    2.382900e-03,    2.382900e-03,    2.382900e-03,    2.382900e-03,    1.688700e-03,    1.688700e-03,
