MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+02,   -2.102003e-02,    6.533264e-03,    9.546278e-02,   -1.019165e-01,   -1.493157e-01,    1.236274e-01,    5.727437e-02,   -3.718379e-02,    8.129749e-01,    6.230474e-01,    1.724873e-01,    1.131186e-01,   -1.343871e+00,   -5.040404e-01,    9.944941e-01,    9.004074e-02,   -1.479500e-02,    1.130400e-02,    9.690600e-02,   -1.009700e-01,   -1.605600e-01,    1.194100e-01,    7.666700e-02,   -3.542800e-02,    7.657100e-03,    7.657100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    1.950000e-02,    1.950000e-02,
         1,    1.584800e+02,   -2.366749e-02,    5.681281e-03,    1.206738e-01,   -1.339025e-01,   -1.818715e-01,    1.574315e-01,    6.728280e-02,   -4.315953e-02,    4.358010e-01,    1.058494e+00,    4.521289e-01,   -3.217839e-01,   -1.600677e+00,   -4.322633e-01,    9.379324e-01,    3.134940e-01,   -1.917700e-02,    1.658800e-02,    1.255600e-01,   -1.373800e-01,   -1.991700e-01,    1.527600e-01,    8.913100e-02,   -3.585700e-02,    1.030400e-02,    1.030400e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    2.329400e-02,    2.329400e-02,
         1,    2.511800e+02,   -2.530541e-02,    4.279062e-03,    1.540948e-01,   -1.742674e-01,   -2.232509e-01,    1.985021e-01,    7.729540e-02,   -5.121784e-02,    2.059305e-01,    1.218870e+00,    3.865516e-01,   -2.670812e-01,   -8.661918e-01,   -7.068780e-01,    7.111300e-01,    8.055858e-01,   -2.268700e-02,    1.977700e-02,    1.592800e-01,   -1.778500e-01,   -2.348700e-01,    1.890200e-01,    9.586300e-02,   -3.018400e-02,    1.271500e-02,    1.271500e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    2.611000e-02,    2.611000e-02,
         2,    1.000000e+02,   -1.848631e-03,   -7.838263e-04,    1.329675e-01,   -1.388617e-01,   -1.100366e-01,    1.284087e-01,   -1.299430e-02,    1.015003e-02,   -2.828348e-01,    2.921503e-01,   -3.556150e-02,    2.992841e-01,   -3.073110e-01,   -4.860217e-01,   -5.086313e-01,   -3.276722e-02,   -2.835300e-03,    2.353400e-04,    1.326500e-01,   -1.361900e-01,   -1.127800e-01,    1.240700e-01,   -1.741400e-02,    9.865300e-03,    3.488500e-03,    3.488500e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.689400e-03,    8.689400e-03,
         2,    1.584800e+02,    8.664413e-04,    3.079247e-03,    1.665174e-01,   -1.750606e-01,   -1.415114e-01,    1.653380e-01,   -1.674412e-02,    8.723365e-03,   -9.114317e-01,   -4.690832e-01,   -4.154436e-01,    7.129964e-03,    1.009882e-03,   -3.562365e-01,   -6.411945e-01,   -2.710647e-01,   -2.827500e-03,    1.178100e-03,    1.618200e-01,   -1.749800e-01,   -1.415000e-01,    1.613100e-01,   -2.370300e-02,    5.781500e-03,    4.052900e-03,    4.052900e-03,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.085300e-02,    1.085300e-02,
         2,    2.511800e+02,    7.719448e-04,    1.045842e-02,    2.071572e-01,   -2.242496e-01,   -1.816207e-01,    2.132327e-01,   -1.822867e-02,    6.342376e-03,   -6.672330e-01,   -1.273788e+00,   -5.582120e-01,    2.415063e-01,    7.204226e-01,   -2.114428e-01,   -7.104055e-01,   -6.076441e-01,   -2.893900e-03,    3.460100e-03,    1.992300e-01,   -2.208200e-01,   -1.713900e-01,    2.102300e-01,   -2.742700e-02,   -1.525400e-03,    5.494100e-03,    5.494100e-03,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.294800e-02,    1.294800e-02,
         3,    1.000000e+02,    1.630539e-02,   -1.742677e-02,    1.368552e-01,   -1.321073e-01,   -1.044481e-01,    1.240838e-01,   -3.384756e-02,    2.590832e-02,   -1.808693e+00,   -2.941544e-01,   -4.135457e-01,   -2.018833e+00,    8.323570e-01,   -1.313100e-01,   -1.332244e+00,    4.715895e-01,   -9.925900e-04,   -2.024000e-02,    1.331900e-01,   -1.500000e-01,   -9.707100e-02,    1.229200e-01,   -5.369800e-02,    3.293500e-02,    9.563800e-03,    9.563800e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    1.490000e-02,    1.490000e-02,
         3,    1.584800e+02,    2.250050e-02,   -1.785224e-02,    1.688967e-01,   -1.650142e-01,   -1.348767e-01,    1.595507e-01,   -4.049802e-02,    2.967936e-02,   -1.215626e+00,   -1.047388e+00,    2.288537e-01,   -9.439956e-01,    4.869538e-01,    2.515335e-01,   -1.455926e+00,   -1.271363e-01,    6.217200e-03,   -3.188200e-02,    1.714800e-01,   -1.756700e-01,   -1.293800e-01,    1.623900e-01,   -6.732200e-02,    2.733700e-02,    1.339500e-02,    1.339500e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.842400e-02,    1.842400e-02,
         3,    2.511800e+02,    2.696695e-02,   -1.724008e-02,    2.075774e-01,   -2.094331e-01,   -1.741047e-01,    2.053683e-01,   -4.680975e-02,    3.519059e-02,   -6.091298e-01,   -1.282897e+00,   -1.329879e-01,   -7.241580e-02,    6.142050e-01,    3.875271e-01,   -1.259889e+00,   -7.845609e-01,    1.678900e-02,   -3.867600e-02,    2.057100e-01,   -2.104500e-01,   -1.654800e-01,    2.108100e-01,   -7.378900e-02,    1.839000e-02,    1.670900e-02,    1.670900e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    2.141400e-02,    2.141400e-02,
         4,    1.000000e+02,   -1.810835e-02,    1.688600e-02,    1.434991e-01,   -1.984889e-01,   -1.796286e-01,    2.358059e-01,    1.142145e-02,   -4.683858e-02,    2.237173e-01,   -1.683769e-01,    5.276899e-02,   -2.747231e-01,    9.411057e-01,    3.076064e-01,    3.313758e-02,   -2.455688e-01,   -1.564500e-02,    1.503200e-02,    1.442100e-01,   -2.021900e-01,   -1.669500e-01,    2.399500e-01,    1.203900e-02,   -5.141500e-02,    1.101100e-02,    1.101100e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.863600e-02,    1.863600e-02,
