MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.511800e+01,   -1.457457e-02,    1.020639e-03,    5.972126e-02,   -4.589548e-02,   -9.523208e-02,    5.822199e-02,    3.109291e-02,   -1.631133e-02,    1.006358e+00,   -7.812646e-01,   -9.672754e-01,    2.863687e-01,    1.270494e+00,   -2.382409e-01,    1.299632e+00,   -8.045166e-01,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.566329e-02,    4.206604e-03,    6.851123e-02,   -6.066361e-02,   -1.098802e-01,    7.728435e-02,    3.578761e-02,   -2.070878e-02,    1.498535e+00,   -6.554902e-01,   -1.216442e+00,    1.219670e+00,    1.480128e+00,   -1.304366e+00,    1.137470e+00,   -5.702744e-01,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -1.856484e-02,    6.228201e-03,    8.196889e-02,   -8.157790e-02,   -1.297992e-01,    1.003304e-01,    4.260059e-02,   -2.527559e-02,    1.409871e+00,   -7.153193e-02,   -1.036076e+00,    1.447968e+00,    7.185896e-01,   -1.477921e+00,    1.162832e+00,   -4.005848e-01,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    2.511800e+01,   -4.645581e-03,   -5.526602e-03,    6.881743e-02,   -6.920024e-02,   -5.486220e-02,    5.925100e-02,   -3.427698e-03,    6.514039e-03,   -9.474745e-01,    1.801262e-01,   -1.631682e-01,    4.294031e-01,   -5.854913e-01,   -1.010069e+00,   -1.763311e-02,    4.243752e-01,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
         2,    3.981000e+01,   -3.473704e-03,   -4.184902e-03,    8.587277e-02,   -9.076346e-02,   -6.930673e-02,    8.004787e-02,   -5.544675e-03,    8.590577e-03,   -3.562171e-01,    3.839702e-01,    1.461812e-01,    4.837801e-01,   -7.019094e-01,   -6.216009e-01,   -3.159271e-01,    2.901768e-01,   -4.874100e-03,   -2.675400e-03,    8.670900e-02,   -8.799600e-02,   -7.332200e-02,    7.649200e-02,   -7.269700e-03,    1.017500e-02,    3.931300e-03,    3.931300e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.460200e-03,    5.460200e-03,
         2,    6.309500e+01,   -2.490466e-03,   -4.036095e-03,    1.103293e-01,   -1.170057e-01,   -8.987853e-02,    1.056400e-01,   -9.134055e-03,    1.043017e-02,    9.210478e-02,    1.222326e+00,   -2.344822e-01,    7.690108e-01,   -3.057096e-01,   -6.516279e-01,   -4.417258e-01,    1.353370e-01,   -2.229100e-03,   -5.675000e-04,    1.086200e-01,   -1.114000e-01,   -9.210700e-02,    1.008900e-01,   -1.230600e-02,    1.140200e-02,    2.837700e-03,    2.837700e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.180800e-03,    7.180800e-03,
         3,    3.981000e+01,    5.304230e-03,   -1.143019e-02,    8.929729e-02,   -8.847911e-02,   -6.379323e-02,    7.774667e-02,   -1.755864e-02,    1.559738e-02,   -2.528025e+00,   -2.376714e-01,   -2.119132e+00,   -1.616325e+00,    8.990453e-01,   -8.790003e-01,   -8.926508e-01,    1.867652e+00,   -1.289300e-02,   -1.314100e-02,    6.597200e-02,   -1.062700e-01,   -5.892400e-02,    7.298600e-02,   -2.598000e-02,    3.321700e-02,    7.198200e-03,    7.198200e-03,    1.100700e-02,    1.100700e-02,    5.416000e-03,    5.416000e-03,    9.434100e-03,    9.434100e-03,
         3,    6.309500e+01,    8.670021e-03,   -1.357628e-02,    1.134593e-01,   -1.111000e-01,   -8.374831e-02,    1.009869e-01,   -2.257553e-02,    1.851177e-02,   -1.747846e+00,   -6.812119e-01,   -9.976389e-01,   -1.971522e+00,    4.879414e-01,   -4.084503e-01,   -1.492679e+00,    1.299469e+00,   -6.693200e-03,   -1.956400e-02,    1.042800e-01,   -1.292400e-01,   -8.021000e-02,    9.802500e-02,   -4.103400e-02,    3.458100e-02,    8.789800e-03,    8.789800e-03,    9.201000e-03,    9.201000e-03,    7.251500e-03,    7.251500e-03,    1.236600e-02,    1.236600e-02,
         4,    2.511800e+01,   -6.815168e-03,    8.792063e-03,    7.931226e-02,   -8.218283e-02,   -8.722751e-02,    1.012618e-01,   -1.156388e-02,   -1.219936e-02,   -5.114388e-01,   -6.135746e-01,   -5.269144e-01,    3.822232e-01,    5.415546e-01,   -1.318671e+00,    2.315715e-01,   -5.098429e-01,   -9.490300e-03,    5.582700e-03,    7.620800e-02,   -7.993100e-02,   -8.403700e-02,    9.349300e-02,   -9.878500e-03,   -1.591000e-02,    5.230600e-03,    5.230600e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    7.278000e-03,    7.278000e-03,
         4,    3.981000e+01,   -9.889612e-03,    9.875711e-03,    9.562302e-02,   -1.101331e-01,   -1.096841e-01,    1.339022e-01,   -8.643111e-03,   -2.017076e-02,   -5.376458e-01,   -1.058199e+00,   -3.169525e-01,   -3.227753e-02,    1.079264e+00,   -1.000564e+00,    2.689009e-01,   -6.232980e-01,   -1.348700e-02,    2.795300e-03,    9.319900e-02,   -1.103800e-01,   -1.014300e-01,    1.262500e-01,   -5.974700e-03,   -2.635600e-02,    6.691000e-03,    6.691000e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    9.923400e-03,    9.923400e-03,
