MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    3.981000e+02,   -2.563194e-02,    3.052638e-03,    1.972224e-01,   -2.249034e-01,   -2.732330e-01,    2.484098e-01,    8.805825e-02,   -6.366298e-02,   -1.351161e-01,    1.121631e+00,    3.849526e-01,   -2.652589e-01,   -4.777672e-01,   -6.523327e-01,    5.446610e-01,    1.226711e+00,   -2.771300e-02,    2.032800e-02,    2.036900e-01,   -2.293600e-01,   -2.812600e-01,    2.374500e-01,    1.043300e-01,   -2.701500e-02,    1.540200e-02,    1.540200e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    2.987500e-02,    2.987500e-02,
         1,    6.309500e+02,   -2.500625e-02,    2.881408e-03,    2.515628e-01,   -2.896945e-01,   -3.314644e-01,    3.129697e-01,    1.011668e-01,   -8.223132e-02,   -4.556462e-01,    9.761048e-01,    7.410936e-01,   -3.563660e-01,   -6.563212e-01,   -6.588530e-01,    3.899244e-02,    1.750990e+00,   -3.363300e-02,    2.136200e-02,    2.674000e-01,   -2.973100e-01,   -3.454900e-01,    2.988900e-01,    1.024500e-01,   -2.460800e-02,    1.893300e-02,    1.893300e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    3.290900e-02,    3.290900e-02,
         1,    1.000000e+03,   -2.410691e-02,    4.354999e-03,    3.194966e-01,   -3.737555e-01,   -4.004669e-01,    4.008978e-01,    1.188897e-01,   -1.084003e-01,   -6.082784e-01,    1.002090e+00,    1.237571e+00,   -4.543975e-02,   -1.722828e+00,   -1.043482e+00,   -4.617665e-01,    2.049211e+00,   -3.836800e-02,    2.784900e-02,    3.533900e-01,   -3.750000e-01,   -4.476500e-01,    3.723200e-01,    1.016400e-01,   -3.185000e-02,    2.344500e-02,    2.344500e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    3.735600e-02,    3.735600e-02,
         2,    3.981000e+02,   -4.082152e-03,    1.814620e-02,    2.600954e-01,   -2.906027e-01,   -2.326197e-01,    2.748771e-01,   -1.649061e-02,    5.644871e-03,    9.344911e-02,   -7.855735e-01,   -7.792614e-01,    3.957055e-01,    1.181131e+00,    1.780502e-01,   -6.736579e-01,   -1.163802e+00,   -3.180200e-03,    1.056400e-02,    2.459900e-01,   -2.834400e-01,   -2.112400e-01,    2.781000e-01,   -2.671000e-02,   -1.201000e-02,    9.651800e-03,    9.651800e-03,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.517000e-02,    1.517000e-02,
         2,    6.309500e+02,   -1.134445e-02,    2.355376e-02,    3.295668e-01,   -3.763535e-01,   -2.965142e-01,    3.555933e-01,   -1.340532e-02,    9.522106e-03,    1.790659e-01,   -5.917686e-01,   -8.819739e-01,   -1.560124e-01,    9.249843e-01,    8.911793e-01,   -5.515328e-01,   -1.773304e+00,   -8.846300e-03,    1.529800e-02,    3.085000e-01,   -3.800800e-01,   -2.744200e-01,    3.768800e-01,   -2.376200e-02,   -2.377700e-02,    1.395100e-02,    1.395100e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    1.877800e-02,    1.877800e-02,
         2,    1.000000e+03,   -1.832348e-02,    2.807078e-02,    4.168507e-01,   -4.870661e-01,   -3.772383e-01,    4.628497e-01,   -1.161627e-02,    1.820798e-02,   -5.173386e-01,    5.717382e-01,   -5.575395e-01,   -7.302421e-01,    2.322732e-01,    1.532481e+00,   -3.185684e-01,   -2.285939e+00,   -3.300400e-02,    4.429500e-02,    3.990200e-01,   -5.104200e-01,   -3.698100e-01,    5.118600e-01,   -1.948300e-02,   -3.824100e-02,    2.837700e-02,    2.837700e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    2.469400e-02,    2.469400e-02,
         3,    3.981000e+02,    2.922240e-02,   -1.844664e-02,    2.564536e-01,   -2.693851e-01,   -2.241225e-01,    2.638580e-01,   -5.353687e-02,    4.450080e-02,    1.113575e-01,   -1.101274e+00,   -4.431088e-01,    5.334776e-01,    5.265198e-01,    3.345635e-01,   -8.900904e-01,   -1.428697e+00,    3.150000e-02,   -4.097100e-02,    2.486500e-01,   -2.599900e-01,   -2.148500e-01,    2.697500e-01,   -7.511800e-02,    9.860600e-03,    2.045300e-02,    2.045300e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    2.424600e-02,    2.424600e-02,
         3,    6.309500e+02,    3.132427e-02,   -2.343931e-02,    3.197385e-01,   -3.487348e-01,   -2.868902e-01,    3.394595e-01,   -6.280892e-02,    5.894653e-02,    4.635160e-01,   -8.902904e-01,   -8.417630e-01,    6.532867e-01,    4.452816e-02,    2.991787e-01,   -4.284393e-01,   -1.962219e+00,    4.301600e-02,   -4.589600e-02,    3.008300e-01,   -3.340600e-01,   -2.858900e-01,    3.461800e-01,   -7.458200e-02,    5.026700e-03,    2.522400e-02,    2.522400e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.747900e-02,    2.747900e-02,
         3,    1.000000e+03,    3.537032e-02,   -3.212064e-02,    4.007569e-01,   -4.524346e-01,   -3.652659e-01,    4.388489e-01,   -7.662045e-02,    7.835920e-02,    5.370769e-01,   -1.295558e-01,   -1.174382e+00,    4.560648e-01,   -6.654321e-01,    3.617357e-01,    2.047004e-01,   -2.511221e+00,    5.053200e-02,   -3.577800e-02,    3.666000e-01,   -4.391700e-01,   -3.846200e-01,    4.493700e-01,   -7.035600e-02,    1.508300e-03,    2.823000e-02,    2.823000e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    3.060300e-02,    3.060300e-02,
         4,    3.981000e+02,   -4.107757e-02,    3.462946e-02,    3.413063e-01,   -4.958985e-01,   -4.197969e-01,    5.465019e-01,    6.790345e-02,   -9.118983e-02,    2.057910e-01,    1.046213e+00,   -8.876854e-01,   -6.363926e-02,    1.298777e-01,    7.878560e-01,    4.195585e-01,    1.350036e-02,   -3.454700e-02,    6.783000e-02,    3.126900e-01,   -4.979500e-01,   -4.156100e-01,    5.719000e-01,    8.663800e-02,   -9.058700e-02,    3.173400e-02,    3.173400e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    4.465300e-02,    4.465300e-02,
         4,    6.309500e+02,   -5.436081e-02,    3.726498e-02,    4.653152e-01,   -6.529353e-01,   -5.638194e-01,    7.024456e-01,    9.781633e-02,   -1.072637e-01,   -1.313617e-01,    1.155593e+00,   -1.352490e+00,   -3.123235e-01,   -1.238590e-01,    3.820378e-01,    3.873405e-01,    2.631518e-01,   -6.002500e-02,    8.709300e-02,    4.080900e-01,   -6.661500e-01,   -5.690600e-01,    7.186100e-01,    1.194400e-01,   -9.257300e-02,    4.311900e-02,    4.311900e-02,    4.231100e-02,    4.231100e-02,    4.231100e-02,    4.231100e-02,    5.582600e-02,    5.582600e-02,
         4,    1.000000e+03,   -6.787473e-02,    3.704477e-02,    6.280798e-01,   -8.492837e-01,   -7.438577e-01,    8.921655e-01,    1.330879e-01,   -1.209067e-01,   -2.529472e-01,   -2.486174e+00,   -1.281474e+00,   -4.833774e-01,    5.402997e-01,    1.109415e-02,    1.453041e-01,    6.419865e-01,   -8.173700e-02,   -9.920500e-02,    5.582600e-01,   -8.756200e-01,   -7.144200e-01,    8.927700e-01,    1.425000e-01,   -7.932200e-02,    5.480300e-02,    5.480300e-02,    5.448400e-02,    5.448400e-02,    5.448400e-02,    5.448400e-02,    6.477500e-02,    6.477500e-02,
         5,    3.981000e+02,    1.128248e-02,    1.062812e-02,    2.469878e-01,   -2.601452e-01,   -1.907668e-01,    2.058402e-01,   -6.451436e-03,   -7.536588e-03,   -2.645752e-01,    1.271661e+00,    1.078846e-01,   -1.345426e-02,   -5.577367e-01,   -3.245139e-01,   -4.820200e-01,    4.258501e-01,    7.033400e-03,    3.105100e-02,    2.487100e-01,   -2.603600e-01,   -1.996700e-01,    2.006600e-01,   -1.053000e-02,   -3.933300e-03,    1.606000e-02,    1.606000e-02,    1.596300e-02,    1.596300e-02,    1.596300e-02,    1.596300e-02,    8.461400e-03,    8.461400e-03,
         5,    6.309500e+02,    7.220672e-03,    1.407781e-02,    3.080887e-01,   -3.341239e-01,   -2.390086e-01,    2.644435e-01,   -3.377761e-03,   -1.051529e-02,   -6.265819e-01,    1.267845e+00,    7.215659e-01,    2.737138e-01,   -7.890868e-01,   -6.783079e-01,   -3.349884e-01,    1.285510e-01,   -5.601700e-03,    4.002300e-02,    3.227300e-01,   -3.285700e-01,   -2.550200e-01,    2.506800e-01,   -6.583500e-03,   -9.285100e-03,    2.046400e-02,    2.046400e-02,    2.029100e-02,    2.029100e-02,    2.029100e-02,    2.029100e-02,    9.569700e-03,    9.569700e-03,
         5,    1.000000e+03,    1.480250e-03,    1.682559e-02,    3.868397e-01,   -4.323712e-01,   -3.000847e-01,    3.424731e-01,    5.910571e-04,   -1.279200e-02,   -3.200138e-01,    9.671200e-01,    5.958116e-01,    9.966041e-01,   -7.720582e-01,   -1.200819e+00,    3.910716e-01,   -4.436149e-01,   -5.679100e-03,    3.846200e-02,    4.019000e-01,   -4.071800e-01,   -3.196000e-01,    3.121200e-01,    6.143100e-03,   -1.909000e-02,    2.237200e-02,    2.237200e-02,    2.527700e-02,    2.527700e-02,    2.527700e-02,    2.527700e-02,    1.419700e-02,    1.419700e-02,
