MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+00,   -2.068422e-02,    6.187231e-03,    2.019817e-02,   -1.379521e-02,   -5.243005e-02,    2.602103e-02,    1.289473e-02,   -3.902803e-03,    8.108325e-01,   -4.653807e-02,   -4.070054e+00,    2.930621e+00,    4.380560e+00,   -5.155316e+00,    8.131123e-01,   -3.038403e-01,   -1.846400e-02,    6.059800e-03,    1.426200e-02,   -9.520900e-03,   -4.604100e-02,    1.850200e-02,    1.646600e-02,   -5.237300e-03,    2.738200e-03,    2.738200e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    4.392100e-03,    4.392100e-03,
         1,    1.584800e+00,   -2.308790e-02,    4.834753e-03,    2.370196e-02,   -1.836908e-02,   -6.004542e-02,    2.806356e-02,    1.425763e-02,   -3.963849e-03,    8.114343e-01,   -7.385239e-02,   -3.214365e+00,    2.597456e+00,    5.304767e+00,   -3.559104e+00,    7.897080e-01,   -7.919626e-01,   -2.043500e-02,    4.593300e-03,    1.801800e-02,   -1.377600e-02,   -5.066500e-02,    2.177000e-02,    1.817300e-02,   -7.890400e-03,    3.269400e-03,    3.269400e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    4.958000e-03,    4.958000e-03,
         1,    2.511800e+00,   -2.490134e-02,    2.524684e-03,    2.912550e-02,   -2.403703e-02,   -6.819283e-02,    3.022927e-02,    1.555335e-02,   -3.686898e-03,    1.034509e+00,    4.295159e-02,   -3.543276e+00,    2.589433e+00,    5.134222e+00,   -2.562066e+00,    7.915760e-01,   -1.214869e+00,   -2.108100e-02,    2.683300e-03,    2.164600e-02,   -1.857100e-02,   -5.735500e-02,    2.482100e-02,    2.001800e-02,   -1.053900e-02,    3.692900e-03,    3.692900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    5.640200e-03,    5.640200e-03,
         1,    3.981000e+00,   -2.524189e-02,   -5.009947e-04,    3.700817e-02,   -3.004805e-02,   -7.643645e-02,    3.256552e-02,    1.640264e-02,   -3.309983e-03,    9.175781e-01,    9.649478e-02,   -3.911606e+00,    2.937452e+00,    4.178213e+00,   -1.997342e+00,    9.810757e-01,   -1.603075e+00,   -2.145000e-02,   -1.022300e-04,    2.717400e-02,   -2.266300e-02,   -6.593200e-02,    2.754400e-02,    2.282800e-02,   -1.380900e-02,    4.132500e-03,    4.132500e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    6.549300e-03,    6.549300e-03,
         2,    1.000000e+00,   -1.398037e-02,    2.776506e-03,    1.771136e-02,   -1.440807e-02,   -2.302914e-02,    1.455159e-02,    2.134478e-03,    6.736415e-04,    6.811935e-01,    1.962733e-01,   -5.797447e-01,    4.588790e-01,    5.071560e+00,   -5.012601e+00,    7.803813e-01,    6.207033e-01,   -1.237800e-02,    3.238200e-03,    1.488000e-02,   -1.216700e-02,   -1.798400e-02,    9.565100e-03,    3.113700e-03,    1.452500e-03,    2.352300e-03,    2.352300e-03,    4.883800e-03,    4.883800e-03,    9.947900e-04,    9.947900e-04,    1.254800e-03,    1.254800e-03,
         2,    1.584800e+00,   -1.533906e-02,    1.273224e-03,    2.103400e-02,   -1.976426e-02,   -2.681650e-02,    1.694302e-02,    2.081006e-03,    1.364377e-03,    1.388742e+00,    7.475824e-01,   -1.216351e+00,    9.507425e-01,    6.334840e+00,   -4.510209e+00,    7.987274e-01,    5.502632e-01,   -1.197900e-02,    3.082000e-03,    1.483000e-02,   -1.491500e-02,   -1.982600e-02,    1.196600e-02,    3.214400e-03,    2.145200e-03,    2.419500e-03,    2.419500e-03,    5.100500e-03,    5.100500e-03,    1.103500e-03,    1.103500e-03,    1.419000e-03,    1.419000e-03,
         2,    2.511800e+00,   -1.616665e-02,   -1.138389e-03,    2.637445e-02,   -2.666923e-02,   -3.108148e-02,    2.005353e-02,    1.717747e-03,    2.305202e-03,    4.449762e-01,    6.560293e-01,   -1.703351e+00,    1.200073e+00,    5.972645e+00,   -3.196397e+00,    4.153377e-01,    5.338324e-01,   -1.478700e-02,    8.956300e-04,    1.914100e-02,   -2.157300e-02,   -2.267200e-02,    1.555300e-02,    2.365300e-03,    3.137500e-03,    3.100500e-03,    3.100500e-03,    4.246600e-03,    4.246600e-03,    1.408000e-03,    1.408000e-03,    1.559100e-03,    1.559100e-03,
         2,    3.981000e+00,   -1.569323e-02,   -4.368243e-03,    3.433588e-02,   -3.455280e-02,   -3.579228e-02,    2.418910e-02,    9.126879e-04,    3.320756e-03,   -2.325717e-01,    1.026334e+00,   -2.373627e+00,    2.067600e+00,    4.933016e+00,   -2.461792e+00,    4.056854e-02,    1.529405e-01,   -1.658400e-02,   -4.372800e-04,    2.721500e-02,   -2.835000e-02,   -2.686500e-02,    1.973400e-02,    9.803400e-04,    3.575800e-03,    3.830100e-03,    3.830100e-03,    3.000000e-03,    3.000000e-03,    1.809700e-03,    1.809700e-03,    1.667600e-03,    1.667600e-03,
         4,    3.981000e-01,    8.898116e-05,   -4.734044e-04,    2.264011e-02,   -9.779886e-03,   -1.249949e-02,    1.131756e-02,   -3.465807e-03,    2.223363e-03,   -2.562866e+00,    4.721509e-01,   -2.427030e+00,    1.578523e+00,   -1.349259e+00,    5.868458e-01,    4.260236e+00,   -6.472717e-01,   -2.798600e-03,    5.856800e-05,    1.879400e-02,   -7.278400e-03,   -1.441800e-02,    1.215200e-02,    1.329000e-04,    1.676600e-03,    1.126700e-03,    1.126700e-03,    1.584700e-03,    1.584700e-03,    1.421900e-03,    1.421900e-03,    8.447200e-04,    8.447200e-04,
         4,    6.309500e-01,    2.096178e-05,   -4.914508e-04,    2.477701e-02,   -1.241650e-02,   -1.515802e-02,    1.388742e-02,   -4.003192e-03,    3.006152e-03,   -2.642638e+00,    4.043792e-01,   -2.798192e+00,    2.329143e+00,   -9.408039e-01,    6.058257e-01,    4.915759e+00,   -1.531594e+00,   -3.542900e-03,    5.389500e-05,    2.088500e-02,   -9.176900e-03,   -1.695100e-02,    1.504200e-02,    5.465400e-04,    1.588600e-03,    1.348600e-03,    1.348600e-03,    1.390900e-03,    1.390900e-03,    1.905800e-03,    1.905800e-03,    9.255400e-04,    9.255400e-04,
