MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    2.511800e+01,   -1.395682e-02,    9.204110e-04,    5.540352e-02,   -4.323296e-02,   -9.050359e-02,    5.496507e-02,    3.427829e-02,   -1.977552e-02,    8.568287e-01,   -7.570041e-01,    2.469295e-02,   -3.253240e-01,    1.841593e-01,    5.100119e-01,    1.014561e+00,   -4.944944e-01,   -1.041700e-02,   -2.207000e-03,    5.551100e-02,   -4.464900e-02,   -8.970200e-02,    5.718500e-02,    4.561500e-02,   -2.530100e-02,    4.131300e-03,    4.131300e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    4.352700e-03,    1.117400e-02,    1.117400e-02,
         1,    3.981000e+01,   -1.497319e-02,    4.093587e-03,    6.386758e-02,   -5.720240e-02,   -1.043589e-01,    7.387953e-02,    3.973912e-02,   -2.536804e-02,    1.334298e+00,   -6.285934e-01,   -3.012574e-01,    5.375253e-01,    3.919798e-01,   -6.333323e-01,    8.258856e-01,   -2.028826e-01,   -9.366600e-03,    1.452300e-03,    6.233900e-02,   -5.447500e-02,   -1.023700e-01,    7.066600e-02,    5.021300e-02,   -2.794100e-02,    4.201900e-03,    4.201900e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    5.074000e-03,    1.268200e-02,    1.268200e-02,
         1,    6.309500e+01,   -1.776766e-02,    6.137721e-03,    7.687909e-02,   -7.678184e-02,   -1.239936e-01,    9.638638e-02,    4.768335e-02,   -3.150109e-02,    1.262295e+00,   -5.478186e-02,   -2.356051e-01,    6.936919e-01,   -1.944508e-01,   -8.576513e-01,    8.330189e-01,    3.380096e-03,   -1.094900e-02,    5.841800e-03,    7.538100e-02,   -7.237100e-02,   -1.252300e-01,    9.093300e-02,    6.052100e-02,   -3.144900e-02,    5.401800e-03,    5.401800e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    6.358500e-03,    1.541100e-02,    1.541100e-02,
         2,    2.511800e+01,   -4.949644e-03,   -4.233922e-03,    6.517419e-02,   -6.557478e-02,   -5.146946e-02,    5.590191e-02,   -3.225135e-03,    6.206703e-03,   -8.827045e-01,   -9.523436e-02,    6.724184e-01,   -4.021059e-01,   -1.363625e+00,   -2.419456e-01,   -6.836766e-02,    5.013516e-01,   -9.093500e-03,   -4.681000e-03,    6.810600e-02,   -6.732800e-02,   -5.741500e-02,    5.484700e-02,   -3.498100e-03,    8.208400e-03,    4.694500e-03,    4.694500e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    4.360100e-03,    3.992600e-03,    3.992600e-03,
         2,    3.981000e+01,   -4.201077e-03,   -2.342790e-03,    8.138737e-02,   -8.561049e-02,   -6.527928e-02,    7.552257e-02,   -5.299323e-03,    8.184653e-03,   -1.711960e-01,   -8.460559e-02,    9.302738e-01,   -4.170106e-01,   -1.405947e+00,    1.694655e-01,   -3.608618e-01,    3.645191e-01,   -4.874100e-03,   -2.675400e-03,    8.670900e-02,   -8.799600e-02,   -7.332200e-02,    7.649200e-02,   -7.269700e-03,    1.017500e-02,    3.931300e-03,    3.931300e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.720500e-03,    5.460200e-03,    5.460200e-03,
         2,    6.309500e+01,   -3.783034e-03,   -1.595201e-03,    1.042690e-01,   -1.101121e-01,   -8.487395e-02,    9.938453e-02,   -8.754907e-03,    9.828072e-03,    5.476033e-01,    3.621597e-01,    5.968891e-01,   -1.766755e-01,   -9.922560e-01,    2.065265e-01,   -4.945262e-01,    2.191857e-01,   -2.229100e-03,   -5.675000e-04,    1.086200e-01,   -1.114000e-01,   -9.210700e-02,    1.008900e-01,   -1.230600e-02,    1.140200e-02,    2.837700e-03,    2.837700e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.289500e-03,    7.180800e-03,    7.180800e-03,
         3,    3.981000e+01,    7.256344e-03,   -1.280328e-02,    8.605353e-02,   -8.494582e-02,   -6.115039e-02,    7.473881e-02,   -2.135253e-02,    1.893175e-02,   -2.799220e+00,   -4.691751e-02,   -1.824433e+00,   -1.937329e+00,    4.110759e-01,   -3.236349e-01,   -4.905050e-01,    1.514215e+00,   -1.289300e-02,   -1.314100e-02,    6.597200e-02,   -1.062700e-01,   -5.892400e-02,    7.298600e-02,   -2.598000e-02,    3.321700e-02,    7.198200e-03,    7.198200e-03,    1.100700e-02,    1.100700e-02,    5.416000e-03,    5.416000e-03,    9.434100e-03,    9.434100e-03,
         3,    6.309500e+01,    1.082433e-02,   -1.516388e-02,    1.092228e-01,   -1.065509e-01,   -8.038217e-02,    9.664934e-02,   -2.727580e-02,    2.252028e-02,   -1.992938e+00,   -5.005933e-01,   -5.371972e-01,   -2.465939e+00,    2.374218e-02,    1.897073e-01,   -1.112583e+00,    9.753126e-01,   -6.693200e-03,   -1.956400e-02,    1.042800e-01,   -1.292400e-01,   -8.021000e-02,    9.802500e-02,   -4.103400e-02,    3.458100e-02,    8.789800e-03,    8.789800e-03,    9.201000e-03,    9.201000e-03,    7.251500e-03,    7.251500e-03,    1.236600e-02,    1.236600e-02,
         4,    2.511800e+01,   -8.060019e-03,    1.095657e-02,    7.690178e-02,   -8.033893e-02,   -8.651316e-02,    1.005878e-01,   -9.354237e-03,   -1.460956e-02,   -2.734450e-01,   -1.027390e+00,   -1.177615e-01,    6.924191e-02,    4.203012e-01,   -1.204267e+00,   -7.203389e-02,   -1.786807e-01,   -9.490300e-03,    5.582700e-03,    7.620800e-02,   -7.993100e-02,   -8.403700e-02,    9.349300e-02,   -9.878500e-03,   -1.591000e-02,    5.230600e-03,    5.230600e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    5.891400e-03,    7.278000e-03,    7.278000e-03,
         4,    3.981000e+01,   -1.190945e-02,    1.285976e-02,    9.308879e-02,   -1.072014e-01,   -1.086035e-01,    1.335021e-01,   -6.089963e-03,   -2.371755e-02,   -2.357716e-01,   -1.504178e+00,    1.441011e-02,   -4.156129e-01,    9.379663e-01,   -9.482421e-01,    1.161526e-02,   -2.658815e-01,   -1.348700e-02,    2.795300e-03,    9.319900e-02,   -1.103800e-01,   -1.014300e-01,    1.262500e-01,   -5.974700e-03,   -2.635600e-02,    6.691000e-03,    6.691000e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    7.647900e-03,    9.923400e-03,    9.923400e-03,
