MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+00,   -1.586700e-02,    4.972520e-03,    1.537801e-02,   -1.045872e-02,   -4.491283e-02,    2.175888e-02,    1.439484e-02,   -5.943840e-03,   -9.484332e-01,    3.970784e-01,   -7.651773e-01,    6.430058e-01,   -7.735164e-01,   -2.233036e+00,    4.715648e-01,    1.608661e-01,   -1.846400e-02,    6.059800e-03,    1.426200e-02,   -9.520900e-03,   -4.604100e-02,    1.850200e-02,    1.646600e-02,   -5.237300e-03,    2.738200e-03,    2.738200e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    1.458500e-03,    4.392100e-03,    4.392100e-03,
         1,    1.584800e+00,   -1.775038e-02,    4.170481e-03,    1.809918e-02,   -1.388842e-02,   -5.141271e-02,    2.351003e-02,    1.610442e-02,   -7.099705e-03,   -8.211342e-01,    1.293261e-01,   -4.591025e-02,    6.357271e-02,    4.228434e-01,   -9.840145e-01,    4.172200e-01,   -1.594787e-01,   -2.043500e-02,    4.593300e-03,    1.801800e-02,   -1.377600e-02,   -5.066500e-02,    2.177000e-02,    1.817300e-02,   -7.890400e-03,    3.269400e-03,    3.269400e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    1.768300e-03,    4.958000e-03,    4.958000e-03,
         1,    2.511800e+00,   -1.933806e-02,    2.684423e-03,    2.224651e-02,   -1.802260e-02,   -5.851918e-02,    2.513693e-02,    1.825831e-02,   -8.319239e-03,   -4.719692e-01,   -3.042317e-04,   -2.844795e-01,   -2.597934e-01,    5.515082e-01,   -1.496664e-01,    3.119909e-01,   -3.935607e-01,   -2.108100e-02,    2.683300e-03,    2.164600e-02,   -1.857100e-02,   -5.735500e-02,    2.482100e-02,    2.001800e-02,   -1.053900e-02,    3.692900e-03,    3.692900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    2.110900e-03,    5.640200e-03,    5.640200e-03,
         1,    3.981000e+00,   -1.998788e-02,    5.542298e-04,    2.805239e-02,   -2.236292e-02,   -6.560693e-02,    2.645972e-02,    2.068320e-02,   -9.564592e-03,   -3.538104e-01,   -1.588529e-01,   -3.493863e-01,   -1.193571e-01,   -1.293000e-01,    4.312797e-01,    3.274857e-01,   -6.480704e-01,   -2.145000e-02,   -1.022300e-04,    2.717400e-02,   -2.266300e-02,   -6.593200e-02,    2.754400e-02,    2.282800e-02,   -1.380900e-02,    4.132500e-03,    4.132500e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    2.514100e-03,    6.549300e-03,    6.549300e-03,
         2,    1.000000e+00,   -1.216042e-02,    2.940704e-03,    1.479216e-02,   -1.154637e-02,   -1.780758e-02,    1.137771e-02,    1.803285e-03,    6.606480e-04,   -9.249528e-02,    1.264701e-01,    1.798531e-02,   -1.270790e-01,   -1.773401e-01,   -1.822102e+00,    1.044321e+00,    6.310584e-01,   -1.237800e-02,    3.238200e-03,    1.488000e-02,   -1.216700e-02,   -1.798400e-02,    9.565100e-03,    3.113700e-03,    1.452500e-03,    2.352300e-03,    2.352300e-03,    4.883800e-03,    4.883800e-03,    9.947900e-04,    9.947900e-04,    1.254800e-03,    1.254800e-03,
         2,    1.584800e+00,   -1.344153e-02,    1.933706e-03,    1.753615e-02,   -1.574520e-02,   -2.079055e-02,    1.343433e-02,    1.657739e-03,    1.181433e-03,    6.044779e-01,    4.745997e-01,   -5.305659e-01,    1.627682e-01,    8.740828e-01,   -1.330608e+00,    1.097013e+00,    6.791873e-01,   -1.197900e-02,    3.082000e-03,    1.483000e-02,   -1.491500e-02,   -1.982600e-02,    1.196600e-02,    3.214400e-03,    2.145200e-03,    2.419500e-03,    2.419500e-03,    5.100500e-03,    5.100500e-03,    1.103500e-03,    1.103500e-03,    1.419000e-03,    1.419000e-03,
         2,    2.511800e+00,   -1.438868e-02,    2.464854e-04,    2.183240e-02,   -2.102582e-02,   -2.431507e-02,    1.601193e-02,    1.289041e-03,    1.810444e-03,   -1.284682e-01,    2.093677e-01,   -6.337769e-01,   -1.288509e-01,    1.166952e+00,   -3.259419e-01,    6.903081e-01,    8.511679e-01,   -1.478700e-02,    8.956300e-04,    1.914100e-02,   -2.157300e-02,   -2.267200e-02,    1.555300e-02,    2.365300e-03,    3.137500e-03,    3.100500e-03,    3.100500e-03,    4.246600e-03,    4.246600e-03,    1.408000e-03,    1.408000e-03,    1.559100e-03,    1.559100e-03,
         2,    3.981000e+00,   -1.443472e-02,   -2.125043e-03,    2.794226e-02,   -2.703962e-02,   -2.826866e-02,    1.917497e-02,    6.762431e-04,    2.421870e-03,   -5.611564e-01,    4.406577e-01,   -2.424214e-01,   -4.367946e-01,    7.756319e-01,    3.089051e-01,    1.823560e-01,    6.919704e-01,   -1.658400e-02,   -4.372800e-04,    2.721500e-02,   -2.835000e-02,   -2.686500e-02,    1.973400e-02,    9.803400e-04,    3.575800e-03,    3.830100e-03,    3.830100e-03,    3.000000e-03,    3.000000e-03,    1.809700e-03,    1.809700e-03,    1.667600e-03,    1.667600e-03,
         4,    3.981000e-01,   -7.898108e-04,    6.533495e-04,    1.958636e-02,   -8.471322e-03,   -1.243897e-02,    1.114206e-02,   -6.303179e-04,    8.679211e-04,   -1.782896e+00,   -5.278969e-01,   -5.000055e-01,    7.527745e-01,   -1.391823e+00,    7.102722e-01,    9.035159e-01,    9.573336e-01,   -2.798600e-03,    5.856800e-05,    1.879400e-02,   -7.278400e-03,   -1.441800e-02,    1.215200e-02,    1.329000e-04,    1.676600e-03,    1.126700e-03,    1.126700e-03,    1.584700e-03,    1.584700e-03,    1.421900e-03,    1.421900e-03,    8.447200e-04,    8.447200e-04,
         4,    6.309500e-01,   -1.083120e-03,    7.945661e-04,    2.148535e-02,   -1.069900e-02,   -1.507868e-02,    1.366481e-02,   -8.385078e-04,    1.346348e-03,   -1.823951e+00,   -5.492148e-01,   -4.316242e-01,    1.094329e+00,   -9.824315e-01,    7.226333e-01,    1.496475e+00,    2.617413e-01,   -3.542900e-03,    5.389500e-05,    2.088500e-02,   -9.176900e-03,   -1.695100e-02,    1.504200e-02,    5.465400e-04,    1.588600e-03,    1.348600e-03,    1.348600e-03,    1.390900e-03,    1.390900e-03,    1.905800e-03,    1.905800e-03,    9.255400e-04,    9.255400e-04,
