MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e+02,   -2.460852e-02,    4.473389e-03,    1.246504e-01,   -1.323904e-01,   -1.785034e-01,    1.506403e-01,    3.167675e-02,   -3.864710e-03,    1.281623e+00,    8.920624e-01,   -3.315897e+00,    3.755232e+00,    2.144521e+00,   -3.732515e+00,    2.307192e+00,   -1.618630e+00,   -1.479500e-02,    1.130400e-02,    9.690600e-02,   -1.009700e-01,   -1.605600e-01,    1.194100e-01,    7.666700e-02,   -3.542800e-02,    7.657100e-03,    7.657100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    8.367100e-03,    1.950000e-02,    1.950000e-02,
         1,    1.584800e+02,   -2.687104e-02,    1.812304e-03,    1.569822e-01,   -1.749212e-01,   -2.167846e-01,    1.953288e-01,    3.359415e-02,    1.681183e-03,    7.467037e-01,    1.433977e+00,   -2.907582e+00,    3.473789e+00,    1.629925e+00,   -3.939004e+00,    2.384170e+00,   -1.611496e+00,   -1.917700e-02,    1.658800e-02,    1.255600e-01,   -1.373800e-01,   -1.991700e-01,    1.527600e-01,    8.913100e-02,   -3.585700e-02,    1.030400e-02,    1.030400e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    1.080700e-02,    2.329400e-02,    2.329400e-02,
         1,    2.511800e+02,   -2.715181e-02,   -1.680034e-03,    2.006625e-01,   -2.287640e-01,   -2.677885e-01,    2.501084e-01,    3.192803e-02,    8.052464e-03,    3.511449e-01,    1.687537e+00,   -3.085022e+00,    3.795587e+00,    2.454044e+00,   -4.554082e+00,    2.448677e+00,   -1.464438e+00,   -2.268700e-02,    1.977700e-02,    1.592800e-01,   -1.778500e-01,   -2.348700e-01,    1.890200e-01,    9.586300e-02,   -3.018400e-02,    1.271500e-02,    1.271500e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    1.341400e-02,    2.611000e-02,    2.611000e-02,
         2,    1.000000e+02,    7.528497e-03,   -1.267984e-02,    1.659576e-01,   -1.744255e-01,   -1.386560e-01,    1.632233e-01,   -1.634613e-02,    1.322428e-02,   -2.970846e+00,    3.702215e+00,   -3.731113e+00,    4.283129e+00,    2.898625e+00,   -4.385947e+00,   -1.228934e-01,   -3.865611e-01,   -2.835300e-03,    2.353400e-04,    1.326500e-01,   -1.361900e-01,   -1.127800e-01,    1.240700e-01,   -1.741400e-02,    9.865300e-03,    3.488500e-03,    3.488500e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.927000e-03,    8.689400e-03,    8.689400e-03,
         2,    1.584800e+02,    1.390834e-02,   -1.087812e-02,    2.085424e-01,   -2.197266e-01,   -1.790836e-01,    2.104066e-01,   -2.116614e-02,    1.155501e-02,   -4.129350e+00,    2.974714e+00,   -4.132167e+00,    3.957421e+00,    3.323923e+00,   -4.342142e+00,   -2.337478e-01,   -5.319739e-01,   -2.827500e-03,    1.178100e-03,    1.618200e-01,   -1.749800e-01,   -1.415000e-01,    1.613100e-01,   -2.370300e-02,    5.781500e-03,    4.052900e-03,    4.052900e-03,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.130700e-02,    1.085300e-02,    1.085300e-02,
         2,    2.511800e+02,    1.700517e-02,   -5.661470e-03,    2.599661e-01,   -2.807579e-01,   -2.301814e-01,    2.710319e-01,   -2.290314e-02,    8.793435e-03,   -3.621899e+00,    1.660248e+00,   -4.276886e+00,    4.220683e+00,    4.139949e+00,   -4.281523e+00,   -3.493867e-01,   -7.969443e-01,   -2.893900e-03,    3.460100e-03,    1.992300e-01,   -2.208200e-01,   -1.713900e-01,    2.102300e-01,   -2.742700e-02,   -1.525400e-03,    5.494100e-03,    5.494100e-03,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.420100e-02,    1.294800e-02,    1.294800e-02,
         3,    1.000000e+02,    7.467493e-03,   -7.287009e-03,    1.603405e-01,   -1.552222e-01,   -1.228777e-01,    1.477033e-01,   -1.215302e-02,    5.041658e-03,   -8.845943e-01,   -1.354377e+00,   -3.063389e+00,    5.892210e-01,    2.911767e+00,   -2.796301e+00,   -2.788254e+00,    1.872036e+00,   -9.925900e-04,   -2.024000e-02,    1.331900e-01,   -1.500000e-01,   -9.707100e-02,    1.229200e-01,   -5.369800e-02,    3.293500e-02,    9.563800e-03,    9.563800e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    8.862900e-03,    1.490000e-02,    1.490000e-02,
         3,    1.584800e+02,    1.165452e-02,   -3.625513e-03,    1.977553e-01,   -1.946169e-01,   -1.589738e-01,    1.910972e-01,   -1.389476e-02,    3.404789e-03,   -4.059213e-01,   -2.109480e+00,   -2.327721e+00,    1.678496e+00,    2.621702e+00,   -2.543159e+00,   -2.899872e+00,    1.298969e+00,    6.217200e-03,   -3.188200e-02,    1.714800e-01,   -1.756700e-01,   -1.293800e-01,    1.623900e-01,   -6.732200e-02,    2.733700e-02,    1.339500e-02,    1.339500e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.128800e-02,    1.842400e-02,    1.842400e-02,
         3,    2.511800e+02,    1.245719e-02,    2.391491e-03,    2.434007e-01,   -2.478100e-01,   -2.061574e-01,    2.470170e-01,   -1.408361e-02,    1.528082e-03,    2.592502e-01,   -2.457807e+00,   -2.684143e+00,    2.660593e+00,    2.896842e+00,   -2.578479e+00,   -2.788147e+00,    7.874249e-01,    1.678900e-02,   -3.867600e-02,    2.057100e-01,   -2.104500e-01,   -1.654800e-01,    2.108100e-01,   -7.378900e-02,    1.839000e-02,    1.670900e-02,    1.670900e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    1.404200e-02,    2.141400e-02,    2.141400e-02,
         4,    1.000000e+02,   -2.450371e-03,   -1.614667e-03,    1.629311e-01,   -2.241125e-01,   -1.816568e-01,    2.394683e-01,   -7.079355e-03,   -1.909226e-02,   -1.198313e+00,    1.511822e+00,   -1.389632e+00,    1.627264e+00,    1.091656e+00,    3.575674e-02,    1.025883e+00,   -1.734425e+00,   -1.564500e-02,    1.503200e-02,    1.442100e-01,   -2.021900e-01,   -1.669500e-01,    2.399500e-01,    1.203900e-02,   -5.141500e-02,    1.101100e-02,    1.101100e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.347200e-02,    1.863600e-02,    1.863600e-02,
